cas,chemical_name,wave,original_selection_status,selection_source,true_cameo_groups,sole_group_of,section10_categories,section10_has_real_evidence,signature_peer_count,signature_rank,unique_risk_pair_types,safety_flag,in_eval_testset_FYI_NOT_USED_IN_DECISION,recommendation,reason
10361-95-2,ZINC CHLORATE,wave2,DUPLICATE,wave2_expansion,50,,no_data,False,29,rank_23_of_30,0,NOT_CHECKED,False,REMOVE_CANDIDATE,"동일 true_groups=(50,) 물질 30종 중 23순위 + §10 실질근거 없음 — 제거해도 coverage 손실 없음"
11084-85-8,CHLORINATED TRISODIUM PHOSPHATE,wave2,REVIEW,wave2_expansion,50;61,,combustible_reducing;water,True,15,rank_3_of_16,0,NOT_CHECKED,False,MERGE_CANDIDATE,"동일 true_groups=(50, 61) 물질 16종 중 3순위 — 자기 §10 근거는 있으나 상위 대표물질과 중복, 통합 검토 대상"
1189-85-1,T-BUTYL CHROMATE,wave2,DUPLICATE,wave2_expansion,50,,combustible_reducing;water,True,29,rank_6_of_30,0,NOT_CHECKED,False,MERGE_CANDIDATE,"동일 true_groups=(50,) 물질 30종 중 6순위 — 자기 §10 근거는 있으나 상위 대표물질과 중복, 통합 검토 대상"
1304-29-6,BARIUM PEROXIDE,wave2,DUPLICATE,wave2_expansion,50;61,,combustible_reducing;water,True,15,rank_4_of_16,0,NOT_CHECKED,False,MERGE_CANDIDATE,"동일 true_groups=(50, 61) 물질 16종 중 4순위 — 자기 §10 근거는 있으나 상위 대표물질과 중복, 통합 검토 대상"
1305-79-9,CALCIUM PEROXIDE,wave2,DUPLICATE,wave2_expansion,50;61,,combustible_reducing;water,True,15,rank_5_of_16,0,NOT_CHECKED,False,MERGE_CANDIDATE,"동일 true_groups=(50, 61) 물질 16종 중 5순위 — 자기 §10 근거는 있으나 상위 대표물질과 중복, 통합 검토 대상"
1309-60-0,LEAD DIOXIDE,wave2,DUPLICATE,wave2_expansion,50,,combustible_reducing;water,True,29,rank_7_of_30,0,NOT_CHECKED,False,MERGE_CANDIDATE,"동일 true_groups=(50,) 물질 30종 중 7순위 — 자기 §10 근거는 있으나 상위 대표물질과 중복, 통합 검토 대상"
1313-60-6,SODIUM PEROXIDE,wave2,REVIEW,wave2_expansion,18;50,,no_data,False,4,rank_5_of_5,0,NOT_CHECKED,False,REMOVE_CANDIDATE,"동일 true_groups=(18, 50) 물질 5종 중 5순위 + §10 실질근거 없음 — 제거해도 coverage 손실 없음"
1314-18-7,STRONTIUM PEROXIDE,wave2,DUPLICATE,wave2_expansion,18;50,,combustible_reducing;water,True,4,rank_4_of_5,0,NOT_CHECKED,False,MERGE_CANDIDATE,"동일 true_groups=(18, 50) 물질 5종 중 4순위 — 자기 §10 근거는 있으나 상위 대표물질과 중복, 통합 검토 대상"
1314-22-3,ZINC PEROXIDE,wave2,DUPLICATE,wave2_expansion,50,,combustible_reducing;water,True,29,rank_8_of_30,0,NOT_CHECKED,False,MERGE_CANDIDATE,"동일 true_groups=(50,) 물질 30종 중 8순위 — 자기 §10 근거는 있으나 상위 대표물질과 중복, 통합 검토 대상"
1314-62-1,VANADIUM PENTOXIDE,wave2,REVIEW,wave2_expansion,50;60,,no_data,False,4,rank_5_of_5,0,NOT_CHECKED,False,REMOVE_CANDIDATE,"동일 true_groups=(50, 60) 물질 5종 중 5순위 + §10 실질근거 없음 — 제거해도 coverage 손실 없음"
1317-35-7,MANGANESE TETROXIDE,wave2,DUPLICATE,wave2_expansion,50;61,,combustible_reducing;water,True,15,rank_6_of_16,0,NOT_CHECKED,False,MERGE_CANDIDATE,"동일 true_groups=(50, 61) 물질 16종 중 6순위 — 자기 §10 근거는 있으나 상위 대표물질과 중복, 통합 검토 대상"
1333-82-0,"CHROMIUM TRIOXIDE, ANHYDROUS",wave2,REVIEW,wave2_expansion,15;50,,no_data,False,0,unique_signature_no_duplicate,0,NOT_CHECKED,False,REVIEW,"true_groups 조합 (15, 50)은 유일하나 §10 실질근거 없음(자료없음뿐) — group은 scarce 아님, 자동판정 보류"
13446-10-1,AMMONIUM PERMANGANATE,wave2,DUPLICATE,wave2_expansion,50;60,,combustible_reducing;water,True,4,rank_1_of_5,0,NOT_CHECKED,False,KEEP_EMPIRICAL,"동일 true_groups=(50, 60) 물질 5종 중 §10 근거 최상위(자기 근거 ['combustible_reducing', 'water'])"
13450-97-0,STRONTIUM PERCHLORATE,wave2,DUPLICATE,wave2_expansion,50,,combustible_reducing;water,True,29,rank_9_of_30,0,NOT_CHECKED,False,MERGE_CANDIDATE,"동일 true_groups=(50,) 물질 30종 중 9순위 — 자기 §10 근거는 있으나 상위 대표물질과 중복, 통합 검토 대상"
13477-10-6,"BARIUM HYPOCHLORITE, WITH MORE THAN 22% AVAILABLE CHLORINE",wave2,DUPLICATE,wave2_expansion,50;61,,combustible_reducing;water,True,15,rank_7_of_16,0,NOT_CHECKED,False,MERGE_CANDIDATE,"동일 true_groups=(50, 61) 물질 16종 중 7순위 — 자기 §10 근거는 있으나 상위 대표물질과 중복, 통합 검토 대상"
13477-36-6,CALCIUM PERCHLORATE,wave2,DUPLICATE,wave2_expansion,50,,combustible_reducing;water,True,29,rank_10_of_30,0,NOT_CHECKED,False,MERGE_CANDIDATE,"동일 true_groups=(50,) 물질 30종 중 10순위 — 자기 §10 근거는 있으나 상위 대표물질과 중복, 통합 검토 대상"
13530-65-9,ZINC CHROMATE,wave2,DUPLICATE,wave2_expansion,50;61,,no_data,False,15,rank_13_of_16,0,NOT_CHECKED,False,REMOVE_CANDIDATE,"동일 true_groups=(50, 61) 물질 16종 중 13순위 + §10 실질근거 없음 — 제거해도 coverage 손실 없음"
13637-76-8,LEAD PERCHLORATE,wave2,DUPLICATE,wave2_expansion,50,,combustible_reducing;water,True,29,rank_11_of_30,0,NOT_CHECKED,False,MERGE_CANDIDATE,"동일 true_groups=(50,) 물질 30종 중 11순위 — 자기 §10 근거는 있으나 상위 대표물질과 중복, 통합 검토 대상"
13765-19-0,CALCIUM CHROMATE,wave2,DUPLICATE,wave2_expansion,50;61,,no_data,False,15,rank_14_of_16,0,NOT_CHECKED,False,REMOVE_CANDIDATE,"동일 true_groups=(50, 61) 물질 16종 중 14순위 + §10 실질근거 없음 — 제거해도 coverage 손실 없음"
13967-90-3,BARIUM BROMATE,wave2,DUPLICATE,wave2_expansion,50,,combustible_reducing;water,True,29,rank_12_of_30,0,NOT_CHECKED,False,MERGE_CANDIDATE,"동일 true_groups=(50,) 물질 30종 중 12순위 — 자기 §10 근거는 있으나 상위 대표물질과 중복, 통합 검토 대상"
14018-95-2,ZINC DICHROMATE,wave2,DUPLICATE,wave2_expansion,50;61,,combustible_reducing;metal;water,True,15,rank_1_of_16,0,NOT_CHECKED,False,KEEP_EMPIRICAL,"동일 true_groups=(50, 61) 물질 16종 중 §10 근거 최상위(자기 근거 ['combustible_reducing', 'metal', 'water'])"
14307-35-8,LITHIUM CHROMATE,wave2,DUPLICATE,wave2_expansion,50;61,,combustible_reducing;water,True,15,rank_8_of_16,0,NOT_CHECKED,False,MERGE_CANDIDATE,"동일 true_groups=(50, 61) 물질 16종 중 8순위 — 자기 §10 근거는 있으나 상위 대표물질과 중복, 통합 검토 대상"
14452-57-4,MAGNESIUM PEROXIDE,wave2,DUPLICATE,wave2_expansion,50;61,,combustible_reducing;water,True,15,rank_9_of_16,0,NOT_CHECKED,False,MERGE_CANDIDATE,"동일 true_groups=(50, 61) 물질 16종 중 9순위 — 자기 §10 근거는 있으나 상위 대표물질과 중복, 통합 검토 대상"
14519-07-4,ZINC BROMATE,wave2,DUPLICATE,wave2_expansion,50,,no_data,False,29,rank_24_of_30,0,NOT_CHECKED,False,REMOVE_CANDIDATE,"동일 true_groups=(50,) 물질 30종 중 24순위 + §10 실질근거 없음 — 제거해도 coverage 손실 없음"
14519-17-6,MAGNESIUM BROMATE,wave2,DUPLICATE,wave2_expansion,50,,combustible_reducing;water,True,29,rank_13_of_30,0,NOT_CHECKED,False,MERGE_CANDIDATE,"동일 true_groups=(50,) 물질 30종 중 13순위 — 자기 §10 근거는 있으나 상위 대표물질과 중복, 통합 검토 대상"
146-84-9,"SILVER PICRATE, WETTED WITH NOT LESS THAN 30% WATER",wave2,REVIEW,wave2_expansion,46;50;54;68,,no_data,False,0,unique_signature_no_duplicate,0,NOT_CHECKED,False,REVIEW,"true_groups 조합 (46, 50, 54, 68)은 유일하나 §10 실질근거 없음(자료없음뿐) — group은 scarce 아님, 자동판정 보류"
14977-61-8,CHROMIUM OXYCHLORIDE,wave2,REVIEW,wave2_expansion,32;50,,combustible_reducing;metal;water,True,3,rank_1_of_4,0,NOT_CHECKED,False,KEEP_EMPIRICAL,"동일 true_groups=(32, 50) 물질 4종 중 §10 근거 최상위(자기 근거 ['combustible_reducing', 'metal', 'water'])"
15541-45-4,"BROMATES, INORGANIC, N.O.S.",wave2,DUPLICATE,wave2_expansion,50,,combustible_reducing;water,True,29,rank_14_of_30,0,NOT_CHECKED,False,MERGE_CANDIDATE,"동일 true_groups=(50,) 물질 30종 중 14순위 — 자기 §10 근거는 있으나 상위 대표물질과 중복, 통합 검토 대상"
17014-71-0,POTASSIUM PEROXIDE,wave2,DUPLICATE,wave2_expansion,18;50,,combustible_reducing;metal;water,True,4,rank_1_of_5,0,NOT_CHECKED,False,KEEP_EMPIRICAL,"동일 true_groups=(18, 50) 물질 5종 중 §10 근거 최상위(자기 근거 ['combustible_reducing', 'metal', 'water'])"
20816-12-0,OSMIUM TETROXIDE,wave2,DUPLICATE,wave2_expansion,50,,combustible_reducing;metal;water,True,29,rank_1_of_30,0,NOT_CHECKED,False,KEEP_EMPIRICAL,"동일 true_groups=(50,) 물질 30종 중 §10 근거 최상위(자기 근거 ['combustible_reducing', 'metal', 'water'])"
2244-21-5,"POTASSIUM DICHLORO-S-TRIAZINETRIONE, DRY",wave2,REVIEW,wave2_expansion,7;32;50;60,,combustible_reducing;water,True,2,rank_1_of_3,0,NOT_CHECKED,False,KEEP_EMPIRICAL,"동일 true_groups=(7, 32, 50, 60) 물질 3종 중 §10 근거 최상위(자기 근거 ['combustible_reducing', 'water'])"
23414-72-4,ZINC PERMANGANATE,wave2,DUPLICATE,wave2_expansion,50,,no_data,False,29,rank_25_of_30,0,NOT_CHECKED,False,REMOVE_CANDIDATE,"동일 true_groups=(50,) 물질 30종 중 25순위 + §10 실질근거 없음 — 제거해도 coverage 손실 없음"
2782-57-2,"DICHLOROISOCYANURIC ACID, DRY",wave2,REVIEW,wave2_expansion,7;32;50,,combustible_reducing;water,True,1,rank_2_of_2,0,NOT_CHECKED,False,MERGE_CANDIDATE,"동일 true_groups=(7, 32, 50) 물질 2종 중 2순위 — 자기 §10 근거는 있으나 상위 대표물질과 중복, 통합 검토 대상"
