cas_number,chemical_name,group_id,group_name,source,course,experiment
14018-95-2,ZINC DICHROMATE,50,"Oxidizing Agents, Strong",reaction_frequency_high,,
143-33-9,SODIUM CYANIDE,19,"Bases, Weak",pool_topup,,
146-84-9,"SILVER PICRATE, WETTED WITH NOT LESS THAN 30% WATER",50,"Oxidizing Agents, Strong",reaction_frequency_high,,
14977-61-8,CHROMIUM OXYCHLORIDE,50,"Oxidizing Agents, Strong",reaction_frequency_high,,
151-21-3,"DODECYL SULFATE, [SODIUM SALT]",33,"Hydrocarbons, Aliphatic Saturated",pool_topup,,
15245-44-0,"LEAD STYPHNATE, [WETTED WITH &gt;= 20 % WATER OR MIXTURE OF ALCOHOL AND WATER]",68,Water and Aqueous Solutions,reaction_frequency_high,,
15283-51-9,FERROUS FLUOROBORATE,59,"Reducing Agents, Weak",reaction_frequency_high,,
1558-25-4,트리클로로(클로로메틸)실란(TRICHLORO(CHLOROMETHYL)SILANE),22,Chlorosilanes,pool_replacement,,
15630-89-4,SODIUM PERCARBONATE,21,Carbonate Salts,pool_supplement,,
15825-70-4,"MANITOL HEXANITRATE, [WET WITH &gt;= 40 % WATER OR MIXTURE OF ALCOHOL AND WATER]",68,Water and Aqueous Solutions,reaction_frequency_high,,
15829-53-5,MERCURY OXIDE,42,"Metals, Less Reactive agents",reaction_frequency_high,,
1643-20-5,DIMETHYLDODECYLAMINE-N-OXIDE,51,"Oxidizing Agents, Weak",reaction_frequency_high,,
16721-80-5,"SODIUM HYDROSULFIDE, SOLID, WITH LESS THAN 25% WATER OF CRYSTALLIZATION",68,Water and Aqueous Solutions,reaction_frequency_high,,
16940-66-2,SODIUM BOROHYDRIDE,39,"Metal Hydrides, Metal Alkyls, Metal Aryls, and Silanes",curated_curriculum,유기화학,환원반응
16940-81-1,HEXAFLUOROPHOSPHORIC ACID,68,Water and Aqueous Solutions,reaction_frequency_high,,
17014-71-0,POTASSIUM PEROXIDE,50,"Oxidizing Agents, Strong",reaction_frequency_high,,
1758-73-2,THIOUREA DIOXIDE,59,"Reducing Agents, Weak",reaction_frequency_high,,
1762-95-4,AMMONIUM THIOCYANATE,58,"Reducing Agents, Strong",curated_curriculum,무기화학,착물 색반응
1854-26-8,DIMETHYLOLDIHYDROXYETHYLENEUREA,68,Water and Aqueous Solutions,reaction_frequency_high,,
18810-58-7,"BARIUM AZIDE, WETTED WITH NOT LESS THAN 50% WATER",68,Water and Aqueous Solutions,reaction_frequency_high,,
1918-00-9,DICAMBA,68,Water and Aqueous Solutions,reaction_frequency_high,,
20816-12-0,OSMIUM TETROXIDE,50,"Oxidizing Agents, Strong",reaction_frequency_high,,
21908-53-2,"MERCURIC OXIDE, [SOLID]",42,"Metals, Less Reactive agents",reaction_frequency_high,,
2217-06-3,"DIPICRYL SULFIDE, WETTED WITH NOT LESS THAN 10% WATER",68,Water and Aqueous Solutions,reaction_frequency_high,,
2244-21-5,"POTASSIUM DICHLORO-S-TRIAZINETRIONE, DRY",50,"Oxidizing Agents, Strong",reaction_frequency_high,,
23950-58-5,"3,5-DICHLORO-N-(1,1-DIMETHYL-2-PROPYNYL)BENZAMIDE",,,phase4_add_confirmed,,
2492-26-4,SODIUM 2-MERCAPTOBENZOTHIAZOL SOLUTION,68,Water and Aqueous Solutions,reaction_frequency_high,,
25167-32-2,DODECYL DIPHENYL ETHER DISULFONATE SOLUTION,68,Water and Aqueous Solutions,reaction_frequency_high,,
25550-58-7,"DINITROPHENOL, SOLUTION",68,Water and Aqueous Solutions,reaction_frequency_high,,
2691-41-0,"CYCLOTETRAMETHYLENE TETRANITRAMINE, [WET WITH &gt;= 10% WATER]",68,Water and Aqueous Solutions,reaction_frequency_high,,
27137-85-5,DICHLOROPHENYLTRICHLOROSILANE,,,phase4_add_confirmed,,
298-12-4,GLYOXYLIC ACID (50% OR LESS),68,Water and Aqueous Solutions,reaction_frequency_high,,
301-13-3,TRIS(2-ETHYLHEXYL) PHOSPHITE,59,"Reducing Agents, Weak",reaction_frequency_high,,
3811-04-9,POTASSIUM CHLORATE,50,"Oxidizing Agents, Strong",reaction_frequency_high,,
39300-88-4,TARA GUM,,,phase4_add_confirmed,,
50-00-0,FORMALDEHYDE,68,Water and Aqueous Solutions,reaction_frequency_high,,
50-99-7,DEXTROSE SOLUTION,68,Water and Aqueous Solutions,reaction_frequency_high,,
506-87-6,탄산 디암모늄,21,Carbonate Salts,pool_replacement,,
540-72-7,SODIUM THIOCYANATE,58,"Reducing Agents, Strong",reaction_frequency_high,,
545-55-1,TRIS(1-AZIRIDINYL) PHOSPHINE OXIDE,68,Water and Aqueous Solutions,reaction_frequency_high,,
556-88-7,"NITROGUANIDINE, WETTED WITH NOT LESS THAN 20% WATER",68,Water and Aqueous Solutions,reaction_frequency_high,,
57-12-5,"CYANIDE SOLUTION, N.O.S.",68,Water and Aqueous Solutions,reaction_frequency_high,,
57-13-6,UREA,12,Amides and Imides,curated_curriculum,무기화학,완충/염기반응
57-63-6,ETHINYLESTRADIOL,,,phase4_add_confirmed,,
5894-60-0,HEXADECYLTRICHLOROSILANE,,,phase4_add_confirmed,,
591-08-2,1-ACETYL-2-THIOUREA,59,"Reducing Agents, Weak",reaction_frequency_high,,
592-85-8,MERCURY THIOCYANATE,58,"Reducing Agents, Strong",reaction_frequency_high,,
592-87-0,LEAD THIOCYANATE,58,"Reducing Agents, Strong",reaction_frequency_high,,
60-00-4,EDTA,2,"Acids, Carboxylic",curated_curriculum,분석화학,킬레이트 적정(EDTA)
60-29-7,ETHYL ETHER,28,Ethers,curated_curriculum,유기화학,추출 용매(과산화물 형성주의)
603-35-0,TRIPHENYL PHOSPHINE,58,"Reducing Agents, Strong",reaction_frequency_high,,
628-86-4,"MERCURY FULMINATE, [WET]",68,Water and Aqueous Solutions,reaction_frequency_high,,
6303-21-5,HYPOPHOSPHOROUS ACID,58,"Reducing Agents, Strong",reaction_frequency_high,,
63868-82-6,ZIRCONIUM PICRAMATE,68,Water and Aqueous Solutions,reaction_frequency_high,,
64-17-5,ETHANOL,8,Alcohols and Polyols,curated_curriculum,유기화학,재결정 용매
64-19-7,ACETIC ACID,2,"Acids, Carboxylic",curated_curriculum,유기화학,에스테르화 반응
6484-52-2,AMMONIUM NITRATE,68,Water and Aqueous Solutions,reaction_frequency_high,,
67-64-1,ACETONE,38,Ketones,curated_curriculum,유기화학,세척/추출 용매
67774-32-7,POLYBROMINATED BIPHENYL,,,phase4_add_confirmed,,
7220-79-3,"메틸렌 블루, 트리수화물(METHYLENE BLUE, TRIHYDRATE)",64,"Sulfides, Organic",pool_replacement_v3_manual,,
7439-92-1,LEAD,42,"Metals, Less Reactive agents",reaction_frequency_high,,
7439-93-2,LITHIUM,40,"Metals, Alkali, Very Active",pool_supplement,,
7440-32-6,"TITANIUM POWDER, DRY",41,"Metals, Elemental and Powder, Active",reaction_frequency_high,,
7440-41-7,"BERYLLIUM COMPOUND, N.O.S.",41,"Metals, Elemental and Powder, Active",reaction_frequency_high,,
