cas_number,name_ko,name_en,core_axis,kosha,cid,registry_formula,pubchem_formula,status,group_ids,group_names,note
7440-44-0,탄소,,periodic_element,True,,,,ALREADY_WRITTEN,33;59,"Hydrocarbons, Aliphatic Saturated | Reducing Agents, Weak",
7723-14-0,인,,periodic_element,True,,,,ALREADY_WRITTEN,58;59;68,"Reducing Agents, Strong | Reducing Agents, Weak | Water and Aqueous Solutions",
7726-95-6,브로민,,periodic_element,True,,,,ALREADY_WRITTEN,32;50;68,"Halogenating Agents | Oxidizing Agents, Strong | Water and Aqueous Solutions",
7782-41-4,불소,,periodic_element,True,,,,ALREADY_WRITTEN,32;50,"Halogenating Agents | Oxidizing Agents, Strong",
7782-50-5,염소,,periodic_element,True,,,,ALREADY_WRITTEN,32;50,"Halogenating Agents | Oxidizing Agents, Strong",
1330-20-7,자일렌,,practical,True,,,,ALREADY_WRITTEN,35,"Hydrocarbons, Aromatic",
302-01-2,하이드라진,,practical,True,,,,ALREADY_WRITTEN,17;18;19;68,"Azo, Diazo, Azido, Hydrazine, and Azide Compounds | Bases, Strong | Bases, Weak | Water and Aqueous Solutions",
74-98-6,프로페인,,practical,True,,,,ALREADY_WRITTEN,33,"Hydrocarbons, Aliphatic Saturated",
78-93-3,메틸에틸케톤,,practical,True,,,,ALREADY_WRITTEN,38,Ketones,
106-89-8,에피클로로하이드린,,representative,True,,,,ALREADY_WRITTEN,26;31;56,Epoxides | Halogenated Organic Compounds | Polymerizable Compounds,
1309-37-1,삼산화이철,,representative,True,,,,ALREADY_WRITTEN,47,Non-Redox-Active Inorganic Compounds,
62-53-3,아닐린,,representative,True,,,,ALREADY_WRITTEN,13,"Amines, Aromatic",
74-85-1,에틸렌,,representative,True,,,,ALREADY_WRITTEN,34;56,"Hydrocarbons, Aliphatic Unsaturated | Polymerizable Compounds",
74-86-2,아세틸렌,,representative,True,,,,ALREADY_WRITTEN,10,"Alkynes, with Acetylenic Hydrogen",
75-78-5,다이메틸다이클로로실란,,representative,True,,,,ALREADY_WRITTEN,22,Chlorosilanes,
98-88-4,벤조일 클로라이드,,representative,True,,,,ALREADY_WRITTEN,7,"Acyl Halides, Sulfonyl Halides, and Chloroformates",
98-95-3,나이트로벤젠,,representative,True,,,,ALREADY_WRITTEN,46,"Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",
