cas_number,name_ko,core_axis,origin,kosha,msds,indexed,cameo,cameo_groups,cameo_source,s10_specific_chars,s10_thin,tier,tier_code
5470-11-1,하이드록실아민 염산염,educational,add_2026-08-22,True,True,True,True,"Reducing Agents, Strong | Salts, Acidic",CAMEO_scrape,27,False,A · 계약 4조건 전부 충족,A
57-13-6,요소,educational,CORE207,True,True,True,True,Amides and Imides,CAMEO_scrape,151,False,A · 계약 4조건 전부 충족,A
60-00-4,에틸렌다이아민테트라아세트산,educational,CORE207,True,True,True,True,"Acids, Carboxylic | Amines, Phosphines, and Pyridines",CAMEO_scrape,200,False,A · 계약 4조건 전부 충족,A
60-29-7,다이에틸에터,representative,CORE207,True,True,True,True,Ethers,manual_classification_verified,354,False,A · 계약 4조건 전부 충족,A
62-53-3,아닐린,representative,add_2026-08-22,True,True,True,True,"Amines, Aromatic",pubchem_cameo_2026-08-22,243,False,A · 계약 4조건 전부 충족,A
62-76-0,옥살산나트륨,educational,CORE207,True,True,True,True,"Reducing Agents, Weak | Salts, Basic",CAMEO_scrape,161,False,A · 계약 4조건 전부 충족,A
630-08-0,일산화탄소,fundamental,CORE207,True,True,True,True,"Reducing Agents, Weak",pubchem_cameo_2026-08-22,333,False,A · 계약 4조건 전부 충족,A
64-17-5,에탄올,fundamental,CORE207,True,True,True,True,"Acids, Weak | Alcohols and Polyols | Cyanides, Inorganic | Polymerizable Compounds","pubchem_verified,manual_classification_verified",309,False,A · 계약 4조건 전부 충족,A
64-19-7,아세트산,representative,CORE207,True,True,True,True,"Acids, Carboxylic | Water and Aqueous Solutions","manual_classification_verified,pubchem_verified",362,False,A · 계약 4조건 전부 충족,A
6484-52-2,질산암모늄,practical,CORE207,True,True,True,True,"Nitrate and Nitrite Compounds, Inorganic | Salts, Acidic | Water and Aqueous Solutions",CAMEO_scrape,415,False,A · 계약 4조건 전부 충족,A
67-56-1,메탄올,fundamental,CORE207,True,True,True,True,Alcohols and Polyols,pubchem_cameo_2026-08-22,365,False,A · 계약 4조건 전부 충족,A
67-63-0,아이소프로필알코올,fundamental,add_2026-08-22,True,True,True,True,Alcohols and Polyols,pubchem_cameo_2026-08-22,304,False,A · 계약 4조건 전부 충족,A
67-64-1,아세톤,fundamental,CORE207,True,True,True,True,Ketones,manual_classification_verified,323,False,A · 계약 4조건 전부 충족,A
68-12-2,"N,N-다이메틸폼아마이드",fundamental,add_2026-08-22,True,True,True,True,Amides and Imides,pubchem_cameo_2026-08-22,287,False,A · 계약 4조건 전부 충족,A
69-72-7,살리실산,educational,add_2026-08-22,True,True,True,True,"Acids, Carboxylic | Phenols and Cresols",CAMEO_scrape,151,False,A · 계약 4조건 전부 충족,A
71-43-2,벤젠,fundamental,CORE207,True,True,True,True,"Hydrocarbons, Aromatic",pubchem_cameo_2026-08-22,348,False,A · 계약 4조건 전부 충족,A
7220-79-3,메틸렌 블루,educational,add_2026-08-22,True,True,True,True,"Amines, Phosphines, and Pyridines | Hydrocarbons, Aromatic | Quaternary Ammonium and Phosphonium Salts | Sulfides, Organic",CAMEO_scrape,242,False,A · 계약 4조건 전부 충족,A
74-82-8,메탄,fundamental,CORE207,True,True,True,True,"Hydrocarbons, Aliphatic Saturated",pubchem_cameo_2026-08-22,313,False,A · 계약 4조건 전부 충족,A
74-85-1,에틸렌,representative,CORE207,True,True,True,True,"Hydrocarbons, Aliphatic Unsaturated | Polymerizable Compounds",pubchem_cameo_2026-08-22,334,False,A · 계약 4조건 전부 충족,A
74-86-2,아세틸렌,representative,CORE207,True,True,True,True,"Alkynes, with Acetylenic Hydrogen",pubchem_cameo_2026-08-22,345,False,A · 계약 4조건 전부 충족,A
74-98-6,프로페인,practical,add_2026-08-22,True,True,True,True,"Hydrocarbons, Aliphatic Saturated",pubchem_cameo_2026-08-22,298,False,A · 계약 4조건 전부 충족,A
7429-90-5,알루미늄,periodic_element,CORE207,True,True,True,True,"Metals, Elemental and Powder, Active",CAMEO_scrape,220,False,A · 계약 4조건 전부 충족,A
7429-91-6,디스프로슘,periodic_element,CORE207,True,True,False,False,,,273,False,C · CAMEO 매핑 결여,C
7429-92-7,아인슈타이늄,periodic_element,CORE207,False,False,False,False,,,0,True,X · KOSHA 미등재,X
7439-88-5,이리듐,periodic_element,CORE207,True,True,False,False,,,156,False,C · CAMEO 매핑 결여,C
7439-89-6,철,periodic_element,CORE207,True,True,True,True,"Metals, Elemental and Powder, Active",CAMEO_scrape,409,False,A · 계약 4조건 전부 충족,A
7439-90-9,크립톤,periodic_element,CORE207,True,True,True,True,Not Chemically Reactive agents,CAMEO_scrape,76,False,A · 계약 4조건 전부 충족,A
7439-91-0,란타넘,periodic_element,CORE207,True,True,False,False,,,235,False,C · CAMEO 매핑 결여,C
7439-92-1,납,periodic_element,CORE207,True,True,True,True,"Metals, Less Reactive agents",CAMEO_scrape,171,False,A · 계약 4조건 전부 충족,A
7439-93-2,리튬,periodic_element,CORE207,True,True,True,True,"Metals, Alkali, Very Active",CAMEO_scrape,401,False,A · 계약 4조건 전부 충족,A
7439-94-3,루테튬,periodic_element,CORE207,False,False,False,False,,,0,True,X · KOSHA 미등재,X
7439-95-4,마그네슘,periodic_element,CORE207,True,True,True,True,"Metals, Elemental and Powder, Active",CAMEO_scrape,537,False,A · 계약 4조건 전부 충족,A
7439-96-5,망가니즈,periodic_element,CORE207,True,True,True,True,"Metals, Less Reactive agents",CAMEO_scrape,254,False,A · 계약 4조건 전부 충족,A
7439-97-6,수은,periodic_element,CORE207,True,True,True,True,"Metals, Less Reactive agents",pubchem_cameo_2026-08-22,1,True,A · 계약 4조건 전부 충족,A
7439-98-7,몰리브데넘,periodic_element,CORE207,True,True,True,True,"Metals, Less Reactive agents",CAMEO_scrape,318,False,A · 계약 4조건 전부 충족,A
7439-99-8,넵투늄,periodic_element,CORE207,False,False,False,False,,,0,True,X · KOSHA 미등재,X
7440-00-8,네오디뮴,periodic_element,CORE207,True,True,False,False,,,156,False,C · CAMEO 매핑 결여,C
7440-01-9,네온,periodic_element,CORE207,True,True,True,True,Not Chemically Reactive agents,CAMEO_scrape,71,False,A · 계약 4조건 전부 충족,A
7440-02-0,니켈,periodic_element,CORE207,True,True,True,True,"Metals, Elemental and Powder, Active",CAMEO_scrape,254,False,A · 계약 4조건 전부 충족,A
7440-03-1,나이오븀,periodic_element,CORE207,True,True,False,False,,,161,False,C · CAMEO 매핑 결여,C
7440-04-2,오스뮴,periodic_element,CORE207,True,True,False,False,,,161,False,C · CAMEO 매핑 결여,C
7440-05-3,팔라듐,periodic_element,CORE207,True,True,False,False,,,259,False,C · CAMEO 매핑 결여,C
7440-06-4,백금,periodic_element,CORE207,True,True,True,True,"Metals, Less Reactive agents",CAMEO_scrape,244,False,A · 계약 4조건 전부 충족,A
7440-07-5,플루토늄,periodic_element,CORE207,False,False,False,False,,,0,True,X · KOSHA 미등재,X
7440-08-6,폴로늄,periodic_element,CORE207,False,False,False,False,,,0,True,X · KOSHA 미등재,X
7440-09-7,칼륨,periodic_element,CORE207,True,True,True,True,"Metals, Alkali, Very Active",CAMEO_scrape,19,True,A · 계약 4조건 전부 충족,A
7440-10-0,프라세오디뮴,periodic_element,CORE207,False,False,False,False,,,0,True,X · KOSHA 미등재,X
7440-11-1,멘델레븀,periodic_element,CORE207,False,False,False,False,,,0,True,X · KOSHA 미등재,X
7440-12-2,프로메튬,periodic_element,CORE207,False,False,False,False,,,0,True,X · KOSHA 미등재,X
7440-13-3,프로트악티늄,periodic_element,CORE207,False,False,False,False,,,0,True,X · KOSHA 미등재,X
7440-14-4,라듐,periodic_element,CORE207,False,False,False,False,,,0,True,X · KOSHA 미등재,X
7440-15-5,레늄,periodic_element,CORE207,True,True,False,False,,,161,False,C · CAMEO 매핑 결여,C
7440-16-6,로듐,periodic_element,CORE207,True,True,True,True,"Metals, Less Reactive agents",CAMEO_scrape,259,False,A · 계약 4조건 전부 충족,A
7440-17-7,루비듐,periodic_element,CORE207,True,True,True,True,"Metals, Alkali, Very Active",CAMEO_scrape,371,False,A · 계약 4조건 전부 충족,A
7440-18-8,루테늄,periodic_element,CORE207,True,True,False,False,,,239,False,C · CAMEO 매핑 결여,C
7440-19-9,사마륨,periodic_element,CORE207,True,True,False,False,,,244,False,C · CAMEO 매핑 결여,C
7440-20-2,스칸듐,periodic_element,CORE207,True,True,False,False,,,319,False,C · CAMEO 매핑 결여,C
7440-21-3,규소,periodic_element,CORE207,True,True,True,True,"Metals, Elemental and Powder, Active",CAMEO_scrape,319,False,A · 계약 4조건 전부 충족,A
7440-22-4,은,periodic_element,CORE207,True,True,True,True,"Metals, Less Reactive agents",CAMEO_scrape,182,False,A · 계약 4조건 전부 충족,A
7440-23-5,나트륨,periodic_element,CORE207,True,True,True,True,"Metals, Alkali, Very Active",CAMEO_scrape,19,True,A · 계약 4조건 전부 충족,A
7440-24-6,스트론튬,periodic_element,CORE207,True,True,False,False,,,706,False,C · CAMEO 매핑 결여,C
7440-25-7,탄탈럼,periodic_element,CORE207,True,True,True,True,"Metals, Elemental and Powder, Active",CAMEO_scrape,259,False,A · 계약 4조건 전부 충족,A
7440-26-8,테크네튬,periodic_element,CORE207,False,False,False,False,,,0,True,X · KOSHA 미등재,X
7440-27-9,터븀,periodic_element,CORE207,True,True,False,False,,,189,False,C · CAMEO 매핑 결여,C
7440-28-0,탈륨,periodic_element,CORE207,True,True,True,True,"Metals, Less Reactive agents",CAMEO_scrape,126,False,A · 계약 4조건 전부 충족,A
7440-29-1,토륨,periodic_element,CORE207,True,True,False,False,,,24,True,C · CAMEO 매핑 결여,C
7440-30-4,툴륨,periodic_element,CORE207,False,False,False,False,,,0,True,X · KOSHA 미등재,X
7440-31-5,주석,periodic_element,CORE207,True,True,True,True,"Metals, Less Reactive agents",CAMEO_scrape,171,False,A · 계약 4조건 전부 충족,A
7440-32-6,티타늄,periodic_element,CORE207,True,True,True,True,"Metals, Elemental and Powder, Active | Water and Aqueous Solutions",CAMEO_scrape,350,False,A · 계약 4조건 전부 충족,A
7440-33-7,텅스텐,periodic_element,CORE207,True,True,True,True,"Metals, Less Reactive agents",CAMEO_scrape,346,False,A · 계약 4조건 전부 충족,A
7440-34-8,악티늄,periodic_element,CORE207,False,False,False,False,,,0,True,X · KOSHA 미등재,X
7440-35-9,아메리슘,periodic_element,CORE207,False,False,False,False,,,0,True,X · KOSHA 미등재,X
7440-36-0,안티모니,periodic_element,CORE207,True,True,True,True,"Metals, Elemental and Powder, Active",CAMEO_scrape,259,False,A · 계약 4조건 전부 충족,A
7440-37-1,아르곤,periodic_element,CORE207,True,True,True,True,Not Chemically Reactive agents,CAMEO_scrape,76,False,A · 계약 4조건 전부 충족,A
7440-38-2,비소,periodic_element,CORE207,True,True,True,True,"Metals, Less Reactive agents",CAMEO_scrape,126,False,A · 계약 4조건 전부 충족,A
7440-39-3,바륨,periodic_element,CORE207,True,True,True,True,"Metals, Elemental and Powder, Active",CAMEO_scrape,346,False,A · 계약 4조건 전부 충족,A
7440-40-6,버클륨,periodic_element,CORE207,False,False,False,False,,,0,True,X · KOSHA 미등재,X
7440-41-7,베릴륨,periodic_element,CORE207,True,True,True,True,"Insufficient Information for Classification | Metals, Elemental and Powder, Active",CAMEO_scrape,222,False,A · 계약 4조건 전부 충족,A
7440-42-8,붕소,periodic_element,CORE207,True,True,False,False,,,278,False,C · CAMEO 매핑 결여,C
7440-43-9,카드뮴,periodic_element,CORE207,True,True,True,True,"Metals, Elemental and Powder, Active",CAMEO_scrape,24,True,A · 계약 4조건 전부 충족,A
7440-44-0,탄소,periodic_element,CORE207,True,True,True,True,"Hydrocarbons, Aliphatic Saturated | Reducing Agents, Weak",pubchem_cameo_2026-08-22,288,False,A · 계약 4조건 전부 충족,A
7440-45-1,세륨,periodic_element,CORE207,True,True,True,True,"Metals, Elemental and Powder, Active",CAMEO_scrape,461,False,A · 계약 4조건 전부 충족,A
7440-46-2,세슘,periodic_element,CORE207,True,True,True,True,"Metals, Alkali, Very Active",CAMEO_scrape,401,False,A · 계약 4조건 전부 충족,A
7440-47-3,크로뮴,periodic_element,CORE207,True,True,True,True,"Metals, Elemental and Powder, Active",CAMEO_scrape,182,False,A · 계약 4조건 전부 충족,A
7440-48-4,코발트,periodic_element,CORE207,True,True,True,True,"Metals, Elemental and Powder, Active",CAMEO_scrape,239,False,A · 계약 4조건 전부 충족,A
7440-50-8,구리,periodic_element,CORE207,True,True,True,True,"Metals, Less Reactive agents",CAMEO_scrape,259,False,A · 계약 4조건 전부 충족,A
7440-51-9,퀴륨,periodic_element,CORE207,False,False,False,False,,,0,True,X · KOSHA 미등재,X
7440-52-0,어븀,periodic_element,CORE207,False,False,False,False,,,0,True,X · KOSHA 미등재,X
7440-53-1,유로퓸,periodic_element,CORE207,True,True,False,False,,,244,False,C · CAMEO 매핑 결여,C
7440-54-2,가돌리늄,periodic_element,CORE207,True,True,False,False,,,250,False,C · CAMEO 매핑 결여,C
7440-55-3,갈륨,periodic_element,CORE207,True,True,True,True,"Metals, Less Reactive agents",CAMEO_scrape,118,False,A · 계약 4조건 전부 충족,A
7440-56-4,저마늄,periodic_element,CORE207,True,True,False,False,,,319,False,C · CAMEO 매핑 결여,C
7440-57-5,금,periodic_element,CORE207,True,True,False,False,,,161,False,C · CAMEO 매핑 결여,C
7440-58-6,하프늄,periodic_element,CORE207,True,True,True,True,"Metals, Elemental and Powder, Active | Water and Aqueous Solutions",CAMEO_scrape,409,False,A · 계약 4조건 전부 충족,A
7440-59-7,헬륨,periodic_element,CORE207,True,True,True,True,Not Chemically Reactive agents,CAMEO_scrape,76,False,A · 계약 4조건 전부 충족,A
7440-60-0,홀뮴,periodic_element,CORE207,False,False,False,False,,,0,True,X · KOSHA 미등재,X
7440-61-1,우라늄,periodic_element,CORE207,True,True,False,False,,,24,True,C · CAMEO 매핑 결여,C
7440-62-2,바나듐,periodic_element,CORE207,True,True,True,True,"Metals, Elemental and Powder, Active",CAMEO_scrape,279,False,A · 계약 4조건 전부 충족,A
7440-63-3,제논,periodic_element,CORE207,True,True,True,True,Not Chemically Reactive agents,CAMEO_scrape,76,False,A · 계약 4조건 전부 충족,A
7440-64-4,이터븀,periodic_element,CORE207,True,True,False,False,,,254,False,C · CAMEO 매핑 결여,C
7440-65-5,이트륨,periodic_element,CORE207,True,True,True,True,"Metals, Elemental and Powder, Active",CAMEO_scrape,319,False,A · 계약 4조건 전부 충족,A
7440-66-6,아연,periodic_element,CORE207,True,True,True,True,"Metals, Elemental and Powder, Active",CAMEO_scrape,506,False,A · 계약 4조건 전부 충족,A
7440-67-7,지르코늄,periodic_element,CORE207,True,True,True,True,"Metals, Elemental and Powder, Active | Water and Aqueous Solutions",CAMEO_scrape,521,False,A · 계약 4조건 전부 충족,A
7440-68-8,아스타틴,periodic_element,CORE207,False,False,False,False,,,0,True,X · KOSHA 미등재,X
7440-69-9,비스무트,periodic_element,CORE207,True,True,False,False,,,166,False,C · CAMEO 매핑 결여,C
7440-70-2,칼슘,periodic_element,CORE207,True,True,True,True,"Metals, Elemental and Powder, Active",CAMEO_scrape,528,False,A · 계약 4조건 전부 충족,A
7440-71-3,캘리포늄,periodic_element,CORE207,False,False,False,False,,,0,True,X · KOSHA 미등재,X
