cas_number,registry_name_ko,registry_name_en,rag_chunk_name,kosha_name,chem_id,kosha_last_date,status,detail,name_differs
17014-71-0,과산화칼륨,POTASSIUM PEROXIDE,과산화칼륨,과산화칼륨,000860,2025-08-08,matched,cache,False
1758-73-2,아미노이미노메탄술핀 산,THIOUREA DIOXIDE,아미노이미노메탄술핀 산,아미노이미노메탄술핀 산,005093,2025-08-08,matched,cache,False
1762-95-4,티오시안산 암모늄(AMMONIUM THIOCYANATE),AMMONIUM THIOCYANATE,티오시안산 암모늄(AMMONIUM THIOCYANATE),티오시안산 암모늄(AMMONIUM THIOCYANATE),005107,2025-08-08,matched,cache,False
20816-12-0,사산화 오스뮴,OSMIUM TETROXIDE,사산화 오스뮴,사산화 오스뮴,000868,2025-08-08,matched,cache,False
21351-79-1,세슘하이드록시드,CESIUM HYDROXIDE,세슘하이드록시드,세슘하이드록시드,000872,2025-08-08,matched,cache,False
22537-19-5,로렌슘,Lawrencium,,,,,not_found,cache,False
26628-22-8,아자이드화나트륨,Sodium azide,소디움 아지이드,소디움 아지이드,000892,2025-08-08,matched,cache,True
27176-87-0,도데실벤젠설폰산,DODECYLBENZENESULFONIC ACID,도데실벤젠설폰산,도데실벤젠설폰산,000893,,matched,cache,False
298-12-4,글리옥실릭 산,GLYOXYLIC ACID (50% OR LESS),글리옥실릭 산,글리옥실릭 산,007742,2026-05-29,matched,cache,False
38465-60-0,구리 플루오린붕산(구리 플루오르붕산)(COPPER FLUOBORATE),COPPER FLUOROBORATE,구리 플루오린붕산(구리 플루오르붕산)(COPPER FLUOBORATE),구리 플루오린붕산(구리 플루오르붕산)(COPPER FLUOBORATE),009174,2025-08-08,matched,cache,False
497-19-8,탄산나트륨,Sodium carbonate,,탄산 나트륨,009983,2026-07-02,matched,cache,True
50-00-0,폼알데하이드,Formaldehyde,포름알데히드,포름알데히드,001097,2026-07-16,matched,cache,True
53850-35-4,더브늄,Dubnium,,,,,not_found,cache,False
53850-36-5,러더포듐,Rutherfordium,,,,,not_found,cache,False
54037-14-8,보륨,Bohrium,,,,,not_found,cache,False
54037-57-9,하슘,Hassium,,,,,not_found,cache,False
54038-01-6,마이트너륨,Meitnerium,,,,,not_found,cache,False
54038-81-2,시보귬,Seaborgium,,,,,not_found,cache,False
54083-77-1,다름슈타튬,Darmstadtium,,,,,not_found,cache,False
54084-26-3,코페르니슘,Copernicium,,,,,not_found,cache,False
54084-70-7,니호늄,Nihonium,,,,,not_found,cache,False
54085-16-4,플레로븀,Flerovium,,,,,not_found,cache,False
54085-64-2,모스코븀,Moscovium,,,,,not_found,cache,False
54100-71-9,리버모륨,Livermorium,,,,,not_found,cache,False
54144-19-3,오가네손,Oganesson,,,,,not_found,cache,False
54386-24-2,뢴트게늄,Roentgenium,,,,,not_found,cache,False
5470-11-1,히드록실아민 수화염화물,HYDROXYLAMINE HYDROCHLORIDE,히드록실아민 수화염화물,히드록실아민 수화염화물,000630,2025-11-13,matched,cache,False
57-13-6,요소,UREA,요소,요소,011509,2025-08-08,matched,cache,False
591-08-2,1-아세틸-2-티오요소,1-ACETYL-2-THIOUREA,1-아세틸-2-티오요소,1-아세틸-2-티오요소,011881,2025-08-08,matched,cache,False
60-00-4,에틸렌다이아민테트라아세트산,EDTA,에틸렌다이아민테트라아세트산,에틸렌다이아민테트라아세트산,000021,2025-08-08,matched,cache,False
60-29-7,다이에틸에터,Diethyl ether,디에틸 에테르,디에틸 에테르,001064,2025-08-08,matched,cache,True
630-08-0,일산화탄소,Carbon monoxide,,일산화탄소,001176,2025-08-08,matched,cache,False
6303-21-5,하이포아인산 용액(HYPOPHOSPHOROUS ACID SOLUTION),HYPOPHOSPHOROUS ACID,하이포아인산 용액(HYPOPHOSPHOROUS ACID SOLUTION),하이포아인산 용액(HYPOPHOSPHOROUS ACID SOLUTION),012916,2025-08-08,matched,cache,False
64-17-5,에탄올,Ethanol,에탄올,에탄올,000034,2025-08-08,matched,cache,False
64-19-7,아세트산,Acetic acid,초산,초산,001150,2025-08-08,matched,cache,True
6487-48-5,칼륨 옥살산염 모노수화물(POTASSIUM OXALATE MONOHYDRATE),POTASSIUM OXALATE MONOHYDRATE,칼륨 옥살산염 모노수화물(POTASSIUM OXALATE MONOHYDRATE),칼륨 옥살산염 모노수화물(POTASSIUM OXALATE MONOHYDRATE),013360,2018-04-02,matched,cache,False
67-56-1,메탄올,Methanol,,메틸 알코올,001151,2025-08-08,matched,cache,True
67-64-1,아세톤,Acetone,아세톤,아세톤,001067,2026-04-17,matched,cache,False
71-43-2,벤젠,Benzene,,벤젠,001008,2025-09-17,matched,cache,False
7220-79-3,"메틸렌 블루, 트리수화물(METHYLENE BLUE, TRIHYDRATE)",METHYLENE BLUE TRIHYDRATE,"메틸렌 블루, 트리수화물(METHYLENE BLUE, TRIHYDRATE)","메틸렌 블루, 트리수화물(METHYLENE BLUE, TRIHYDRATE)",015033,2018-04-02,matched,cache,False
74-82-8,메탄,Methane,,메테인,015390,2025-08-08,matched,cache,True
74-85-1,에틸렌,Ethylene,,에틸렌,000045,2025-08-08,matched,cache,False
74-86-2,아세틸렌,Acetylene,,아세틸렌,000046,2025-08-08,matched,cache,False
7429-90-5,알루미늄,Aluminium,Aluminum,Aluminum,001101,2025-08-08,matched,cache,True
7429-91-6,디스프로슘,Dysprosium,,Dysprosium,428303,2023-10-12,matched,cache,True
7429-92-7,아인슈타이늄,Einsteinium,,,,,not_found,cache,False
7439-88-5,이리듐,Iridium,,이리듐(IRIDIUM),015269,2025-08-08,matched,cache,True
7439-89-6,철,Iron,철,철,015270,2025-08-08,matched,cache,False
7439-90-9,크립톤,Krypton,,크립톤,015271,2025-08-08,matched,cache,False
7439-91-0,란타넘,Lanthanum,,란타넘,015272,2025-08-08,matched,cache,False
7439-92-1,납,Lead,납,납,001086,2025-09-15,matched,cache,False
7439-93-2,리튬,Lithium,Lithium,Lithium,000642,2025-08-08,matched,cache,True
7439-94-3,루테튬,Lutetium,,,,,not_found,cache,False
7439-95-4,마그네슘,Magnesium,Magnesium,Magnesium,000643,2025-08-08,matched,cache,True
7439-96-5,망가니즈,Manganese,망간,망간,001130,2025-08-08,matched,cache,True
7439-97-6,수은,Mercury,,수은,000644,2025-08-08,matched,cache,False
7439-98-7,몰리브데넘,Molybdenum,몰리브덴,몰리브덴,000645,2025-08-08,matched,cache,True
7439-99-8,넵투늄,Neptunium,,,,,not_found,cache,False
7440-00-8,네오디뮴,Neodymium,,네오디뮴(NEODYMIUM),015280,2025-08-08,matched,cache,True
7440-01-9,네온,Neon,,네온,015281,2025-08-08,matched,cache,False
7440-02-0,니켈,Nickel,니켈,니켈,001111,2026-03-27,matched,cache,False
7440-03-1,나이오븀,Niobium,,니오븀(NIOBIUM),015283,2025-08-08,matched,cache,True
7440-04-2,오스뮴,Osmium,,오스뮴(OSMIUM),015284,2025-08-08,matched,cache,True
7440-05-3,팔라듐,Palladium,,팔라듐(PALLADIUM),015285,2025-08-08,matched,cache,True
7440-06-4,백금,Platinum,백금,백금,000646,2025-08-08,matched,cache,False
7440-07-5,플루토늄,Plutonium,,,,,not_found,cache,False
7440-08-6,폴로늄,Polonium,,,,,not_found,cache,False
7440-09-7,칼륨,Potassium,Potassium,Potassium,015287,2026-03-20,matched,cache,True
7440-10-0,프라세오디뮴,Praseodymium,,,,,not_found,cache,False
7440-11-1,멘델레븀,Mendelevium,,,,,not_found,cache,False
7440-12-2,프로메튬,Promethium,,,,,not_found,cache,False
7440-13-3,프로트악티늄,Protactinium,,,,,not_found,cache,False
7440-14-4,라듐,Radium,,,,,not_found,cache,False
7440-15-5,레늄,Rhenium,,레늄,015289,2025-08-08,matched,cache,False
7440-16-6,로듐,Rhodium,"로듐(금속,불가용성화합물)","로듐(금속,불가용성화합물)",000647,2025-08-08,matched,cache,True
7440-17-7,루비듐,Rubidium,Rubidium,Rubidium,015291,2025-08-08,matched,cache,True
7440-18-8,루테늄,Ruthenium,,루테늄,015292,2025-08-08,matched,cache,False
7440-19-9,사마륨,Samarium,,사마륨,015293,2025-08-08,matched,cache,False
7440-20-2,스칸듐,Scandium,,스칸듐(SCANDIUM),015294,2025-08-08,matched,cache,True
7440-21-3,규소,Silicon,실리콘,실리콘,015295,2025-08-08,matched,cache,True
7440-22-4,은,Silver,은,은,001088,2025-08-08,matched,cache,False
7440-23-5,나트륨,Sodium,Sodium,Sodium,000648,2026-03-20,matched,cache,True
7440-24-6,스트론튬,Strontium,,"스트론튬, 분말(STRONTIUM, POWDER)",015298,2025-08-08,matched,cache,True
7440-25-7,탄탈럼,Tantalum,탄탈럼(탄탈),탄탈럼(탄탈),000649,2025-08-08,matched,cache,True
7440-26-8,테크네튬,Technetium,,,,,not_found,cache,False
7440-27-9,터븀,Terbium,,터븀(테르븀)(TERBIUM),015300,2025-08-08,matched,cache,True
7440-28-0,탈륨,Thallium,탈륨,탈륨,000650,2025-08-08,matched,cache,False
7440-29-1,토륨,Thorium,,Thorium-232 and its decay products,432357,2025-08-11,matched,cache,True
7440-30-4,툴륨,Thulium,,,,,not_found,cache,False
7440-31-5,주석,Tin,주석,주석,001090,2025-08-08,matched,cache,False
7440-32-6,티타늄,Titanium,타이타늄(티타늄)(TITANIUM),타이타늄(티타늄)(TITANIUM),015305,2025-08-08,matched,cache,True
7440-33-7,텅스텐,Tungsten,텅스텐,텅스텐,000651,2025-08-08,matched,cache,False
7440-34-8,악티늄,Actinium,,,,,not_found,cache,False
7440-35-9,아메리슘,Americium,,,,,not_found,cache,False
7440-36-0,안티모니,Antimony,안티몬,안티몬,000652,2025-08-08,matched,cache,True
7440-37-1,아르곤,Argon,아르곤,아르곤,015309,2025-08-08,matched,cache,False
7440-38-2,비소,Arsenic,비소,비소,000653,2025-08-08,matched,cache,False
7440-39-3,바륨,Barium,Barium,Barium,000654,2025-08-08,matched,cache,True
7440-40-6,버클륨,Berkelium,,,,,not_found,cache,False
7440-41-7,베릴륨,Beryllium,베릴륨,베릴륨,000655,2025-08-08,matched,cache,False
7440-42-8,붕소,Boron,,붕소,000656,2025-08-08,matched,cache,False
7440-43-9,카드뮴,Cadmium,카드뮴,카드뮴,001075,2025-08-08,matched,cache,False
7440-44-0,탄소,Carbon,,탄소,015315,2025-08-08,matched,cache,False
7440-45-1,세륨,Cerium,Cerium,Cerium,015316,2025-08-08,matched,cache,True
7440-46-2,세슘,Cesium,Cesium,Cesium,015317,2025-08-08,matched,cache,True
7440-47-3,크로뮴,Chromium,크롬,크롬,001071,2025-08-08,matched,cache,True
7440-48-4,코발트,Cobalt,코발트,코발트,001072,2025-08-08,matched,cache,False
7440-50-8,구리,Copper,구리,구리,001023,2025-08-08,matched,cache,False
7440-51-9,퀴륨,Curium,,,,,not_found,cache,False
7440-52-0,어븀,Erbium,,,,,not_found,cache,False
7440-53-1,유로퓸,Europium,,유로퓸(EUROPIUM),015322,2025-08-08,matched,cache,True
7440-54-2,가돌리늄,Gadolinium,,가돌리늄(GADOLINIUM),015323,2025-08-08,matched,cache,True
7440-55-3,갈륨,Gallium,갈륨(GALLIUM),갈륨(GALLIUM),015324,2025-08-08,matched,cache,True
7440-56-4,저마늄,Germanium,,저마늄(게르마늄)(GERMANIUM),015325,2025-08-08,matched,cache,True
7440-57-5,금,Gold,,금,015326,2025-08-08,matched,cache,False
7440-58-6,하프늄,Hafnium,하프니움,하프니움,000657,2025-08-08,matched,cache,True
7440-59-7,헬륨,Helium,헬륨,헬륨,015328,2025-08-08,matched,cache,False
7440-60-0,홀뮴,Holmium,,,,,not_found,cache,False
7440-61-1,우라늄,Uranium,,우라늄,015330,2025-08-08,matched,cache,False
7440-62-2,바나듐,Vanadium,바나듐(VANADIUM),바나듐(VANADIUM),015331,2025-08-08,matched,cache,True
7440-63-3,제논,Xenon,"제논, 냉동 (저온 액체)(XENON, REFRIGERATED (CRYOGENIC LIQUID))","제논, 냉동 (저온 액체)(XENON, REFRIGERATED (CRYOGENIC LIQUID))",015332,2025-08-08,matched,cache,True
7440-64-4,이터븀,Ytterbium,,이터븀(이테르븀)(YTTERBIUM),015333,2025-08-08,matched,cache,True
7440-65-5,이트륨,Yttrium,이트리움,이트리움,000658,2025-08-08,matched,cache,True
7440-66-6,아연,Zinc,Zinc,Zinc,015335,2025-08-08,matched,cache,True
7440-67-7,지르코늄,Zirconium,Zirconium,Zirconium,015336,2025-08-08,matched,cache,True
7440-68-8,아스타틴,Astatine,,,,,not_found,cache,False
7440-69-9,비스무트,Bismuth,,비스무트,015337,2025-08-08,matched,cache,False
7440-70-2,칼슘,Calcium,Calcium,Calcium,000659,2025-08-08,matched,cache,True
7440-71-3,캘리포늄,Californium,,,,,not_found,cache,False
7440-72-4,페르뮴,Fermium,,,,,not_found,cache,False
7440-73-5,프랑슘,Francium,,,,,not_found,cache,False
