cas_number,chemical_name,expected_group,pubchem_cid,pubchem_groups,status
1310-61-8,POTASSIUM HYDROSULFIDE,"Bases, Weak",102109,"Bases, Weak;Sulfides, Inorganic",MATCH
1313-82-2,"SODIUM SULFIDE, ANHYDROUS","Bases, Weak",237873,"Bases, Weak;Sulfides, Inorganic;Water and Aqueous Solutions",MATCH
13983-17-0,WOLLASTONITE,"Bases, Weak",26370,"Bases, Weak;Salts, Basic;Siloxanes",MATCH
143-33-9,SODIUM CYANIDE,"Bases, Weak",8929,"Bases, Weak;Cyanides, Inorganic;Water and Aqueous Solutions",MATCH
101-21-3,ISOPROPYL-N-(3-CHLOROPHENYL)CARBAMATE,Carbamates,2728,Aryl Halides;Carbamates,MATCH
1066-33-7,AMMONIUM BICARBONATE,Carbonate Salts,14013,"Carbonate Salts;Salts, Basic",MATCH
1317-65-3,LIMESTONE,Carbonate Salts,,,ERROR
144-55-8,SODIUM BICARBONATE,Carbonate Salts,516892,Carbonate Salts,MATCH
15630-89-4,SODIUM PERCARBONATE,Carbonate Salts,159762,"Carbonate Salts;Oxidizing Agents, Strong;Salts, Basic",MATCH
506-87-6,탄산 디암모늄,Carbonate Salts,517111,"Carbonate Salts;Salts, Acidic",MATCH
3486-35-9,ZINC CARBONATE,Carbonate Salts,19005,Carbonate Salts,MATCH
471-34-1,CALCIUM CARBONATE,Carbonate Salts,10112,Carbonate Salts,MATCH
1558-25-4,트리클로로(클로로메틸)실란(TRICHLORO(CHLOROMETHYL)SILANE),Chlorosilanes,15258,Chlorosilanes;Halogenated Organic Compounds,MATCH
110-16-7,MALEIC ACID,Conjugated Dienes,444266,"Acids, Carboxylic;Conjugated Dienes;Hydrocarbons, Aliphatic Unsaturated",MATCH
1335-31-5,MERCURIC OXYCYANIDE,"Cyanides, Inorganic",56843208,"Cyanides, Inorganic",MATCH
135072-82-1,4-DIMETHYLAMINO-6-(2-DIMETHYLAMINOETHOXY)TOLUENE-2-DIAZONIUM ZINC CHLORIDE,Diazonium Salts,,,ERROR
15005-97-7,3-(2-HYDROXYETHOXY)-4-PYRROLIDIN-1-YL BENZENEDIAZONIUM ZINC CHLORIDE,Diazonium Salts,,,ERROR
101-90-6,DIGLYCIDYL RESORCINOL ETHER,Epoxides,7586,"Epoxides;Ethers;Hydrocarbons, Aromatic",MATCH
10031-87-5,2-ETHYLBUTYL ACETATE,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",61448,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",MATCH
