cas_number,chemical_name,expected_group,pubchem_cid,pubchem_groups,status
150-13-0,P-AMINOBENZOIC ACID,"Acids, Carboxylic;Amines, Aromatic;Amines, Phosphines, and Pyridines",978,"Acids, Carboxylic;Amines, Aromatic;Amines, Phosphines, and Pyridines",MATCH
150-38-9,"ETHYLENEDIAMINE TETRAACETIC ACID, TRISODIUM SALT","Amines, Phosphines, and Pyridines;Salts, Basic",9008,"Amines, Phosphines, and Pyridines;Salts, Basic",MATCH
150-50-5,MERPHOS,"Sulfides, Organic;Sulfonates, Phosphonates, and Thiophosphonates, Organic",9011,"Sulfides, Organic;Sulfonates, Phosphonates, and Thiophosphonates, Organic",MATCH
150-68-5,MONURON,Amides and Imides;Aryl Halides,8800,Amides and Imides;Aryl Halides,MATCH
150-69-6,DULCIN,"Amides and Imides;Amines, Aromatic",9013,"Amides and Imides;Amines, Aromatic",MATCH
150-76-5,HYDROQUINONE MONOMETHYL ETHER,Ethers;Phenols and Cresols,9015,Ethers;Phenols and Cresols,MATCH
150-78-7,"1,4-DIMETHOXYBENZENE",Ethers,9016,Ethers,MATCH
15005-97-7,3-(2-HYDROXYETHOXY)-4-PYRROLIDIN-1-YL BENZENEDIAZONIUM ZINC CHLORIDE,"Alcohols and Polyols;Amines, Phosphines, and Pyridines;Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Diazonium Salts;Ethers;Hydrocarbons, Aromatic;Salts, Acidic",,,ERROR
1504-74-1,O-METHOXYCINNAMALDEHYDE,"Aldehydes;Ethers;Hydrocarbons, Aliphatic Unsaturated;Hydrocarbons, Aromatic",641298,"Aldehydes;Ethers;Hydrocarbons, Aliphatic Unsaturated;Hydrocarbons, Aromatic",MATCH
1506-38-3,DIOCTYL ACID PYROPHOSPHATE,"Acids, Weak;Anhydrides;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",117837,"Acids, Weak;Anhydrides;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",MATCH
15096-52-3,SODIUM ALUMINUM FLUORIDE,"Salts, Basic",16693908,"Salts, Basic",MATCH
151-21-3,"DODECYL SULFATE, [SODIUM SALT]","Hydrocarbons, Aliphatic Saturated;Salts, Basic",3423265,"Hydrocarbons, Aliphatic Saturated;Salts, Basic",MATCH
151-38-2,METHOXYETHYLMERCURIC ACETATE,Organometallics,16682936,Organometallics,MATCH
151-50-8,POTASSIUM CYANIDE,"Bases, Weak;Cyanides, Inorganic;Water and Aqueous Solutions",9032,"Bases, Weak;Cyanides, Inorganic;Water and Aqueous Solutions",MATCH
15110-74-4,"2,5-DINITRO-9H-FLUORENE","Hydrocarbons, Aromatic;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",27047,"Hydrocarbons, Aromatic;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",MATCH
15121-84-3,O-NITROPHENETHYL ALCOHOL,"Alcohols and Polyols;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",27054,"Alcohols and Polyols;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",MATCH
15181-46-1,"BISULFITES, AQUEOUS SOLUTION, N.O.S.",Sulfite and Thiosulfate Salts;Water and Aqueous Solutions,104748,Sulfite and Thiosulfate Salts;Water and Aqueous Solutions,MATCH
152-16-9,"DIPHOSPHORAMIDE, OCTAMETHYL-","Amines, Phosphines, and Pyridines;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",9037,"Amines, Phosphines, and Pyridines;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",MATCH
1522-92-5,"3-BROMO-2,2-BIS(BROMOMETHYL)PROPANOL",Alcohols and Polyols;Halogenated Organic Compounds,15206,Alcohols and Polyols;Halogenated Organic Compounds,MATCH
15242-96-3,STEARATOCHROMIUM CHLORIDE COMPLEX,"Salts, Acidic",3034068,"Salts, Acidic",MATCH
15245-44-0,"LEAD STYPHNATE, [WETTED WITH &gt;= 20 % WATER OR MIXTURE OF ALCOHOL AND WATER]","Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic;Phenolic Salts;Water and Aqueous Solutions",61789,"Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic;Phenolic Salts;Water and Aqueous Solutions",MATCH
15271-41-7,"BICYCLO[2.2.1]HEPTANE-2-CARBONITRILE, 5-CHLORO-6-[[[(METHYLAMINO)CABONYL]OXY]IMINO]-, [1S-(1ALPHA,2BETA,4ALPHA,5ALPHA,6E)]-",Carbamates;Halogenated Organic Compounds;Nitriles;Oximes,76970394,Carbamates;Halogenated Organic Compounds;Nitriles;Oximes,MATCH
15283-51-9,FERROUS FLUOROBORATE,"Reducing Agents, Weak;Water and Aqueous Solutions",11736352,"Reducing Agents, Weak;Water and Aqueous Solutions",MATCH
153-78-6,2-AMINOFLUORENE,"Amines, Aromatic",1539,"Amines, Aromatic",MATCH
153-94-6,D(+)-TRYPTOPHAN,"Salts, Acidic",9060,"Salts, Acidic",MATCH
15339-36-3,"MANGANESE, BIS(DIMETHYLCARBAMODITHIOATO-S,S&#39;)-",Thiocarbamate Esters and Salts/Dithiocarbamate Esters and Salts,61792,Thiocarbamate Esters and Salts/Dithiocarbamate Esters and Salts,MATCH
15385-57-6,"MERCUROUS IODIDE, [SOLID]","Metals, Less Reactive agents;Non-Redox-Active Inorganic Compounds",,,ERROR
15385-58-7,MERCUROUS BROMIDE,"Metals, Less Reactive agents;Non-Redox-Active Inorganic Compounds",24829,"Metals, Less Reactive agents;Non-Redox-Active Inorganic Compounds",MATCH
154-41-6,PHENYLPROPANOLAMINE HYDROCHLORIDE,"Alcohols and Polyols;Hydrocarbons, Aromatic;Salts, Acidic",62943,"Alcohols and Polyols;Hydrocarbons, Aromatic;Salts, Acidic",MATCH
154-42-7,6-THIOGUANINE,"Amines, Phosphines, and Pyridines;Ketones",2723601,"Amines, Phosphines, and Pyridines;Ketones",MATCH
154-69-8,TRIPELENAMINE HYDROCHLORIDE,"Amines, Phosphines, and Pyridines;Hydrocarbons, Aromatic;Salts, Acidic",9066,"Amines, Phosphines, and Pyridines;Hydrocarbons, Aromatic;Salts, Acidic",MATCH
154-93-8,"1,3-BIS(2-CHLOROETHYL)-1-NITROSOUREA","Amides and Imides;Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Halogenated Organic Compounds;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",2578,"Amides and Imides;Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Halogenated Organic Compounds;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",MATCH
15457-98-4,ZINC BISULFITE SOLUTION,Sulfite and Thiosulfate Salts;Water and Aqueous Solutions,11960343,Sulfite and Thiosulfate Salts;Water and Aqueous Solutions,MATCH
15481-70-6,"2,6-TOLUENEDIAMINE DIHYDROCHLORIDE","Salts, Acidic",27324,"Salts, Acidic",MATCH
15512-36-4,CALCIUM DITHIONITE,Anhydrides,9793941,Anhydrides,MATCH
1552-42-7,CRYSTAL VIOLET LACTONE,"Amines, Phosphines, and Pyridines;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Hydrocarbons, Aromatic",73773,"Amines, Phosphines, and Pyridines;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Hydrocarbons, Aromatic",MATCH
15520-11-3,"DI-(4-TERT-BUTYLCYCLOHEXYL)PEROXYDICARBONATE, [TECHNICALLY PURE]","Peroxides, Organic",84964,"Peroxides, Organic",MATCH
15541-45-4,"BROMATES, INORGANIC, N.O.S.","Oxidizing Agents, Strong",84979,"Oxidizing Agents, Strong",MATCH
15545-97-8,"2,2&#39;-AZODI(2,4-DIMETHYL-4-METHOXYVALERONITRILE)","Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Ethers;Nitriles",85867,"Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Ethers;Nitriles",MATCH
15557-00-3,3-CHLORO-4-DIETHYLAMINOBENZENEDIAZONIUM ZINC CHLORIDE,"Amines, Aromatic;Aryl Halides;Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Diazonium Salts;Salts, Acidic",84985,"Amines, Aromatic;Aryl Halides;Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Diazonium Salts;Salts, Acidic",MATCH
1558-25-4,TRICHLORO(CHLOROMETHYL)SILANE,Chlorosilanes;Halogenated Organic Compounds,15258,Chlorosilanes;Halogenated Organic Compounds,MATCH
156-10-5,P-NITROSODIPHENYLAMINE,"Amines, Aromatic;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",9074,"Amines, Aromatic;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",MATCH
156-62-7,"CALCIUM CYANAMIDE, WITH MORE THAN 0.1% CALCIUM CARBIDE","Cyanides, Inorganic;Salts, Basic",56955933,"Cyanides, Inorganic;Salts, Basic",MATCH
1561-49-5,"DICYCLOHEXYL PEROXYDICARBONATE, [TECHNICALLY PURE]","Peroxides, Organic",73797,"Peroxides, Organic",MATCH
1562-94-3,P-AZOXYANISOLE,"Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Bases, Weak;Ethers;Hydrocarbons, Aromatic",15277,"Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Bases, Weak;Ethers;Hydrocarbons, Aromatic",MATCH
1563-38-8,CARBOFURAN PHENOL,Ethers;Phenols and Cresols,15278,Ethers;Phenols and Cresols,MATCH
1563-66-2,CARBOFURAN,Carbamates;Ethers,2566,Carbamates;Ethers,MATCH
15630-89-4,SODIUM PERCARBONATE,"Carbonate Salts;Oxidizing Agents, Strong;Salts, Basic",159762,"Carbonate Salts;Oxidizing Agents, Strong;Salts, Basic",MATCH
15646-96-5,"2,4,4-TRIMETHYLHEXAMETHYLENE DIISOCYANATE",Isocyanates and Isothiocyanates,61807,Isocyanates and Isothiocyanates,MATCH
15663-27-1,PLATINOL,"Salts, Basic",5460033,"Salts, Basic",MATCH
15699-18-0,NICKEL AMMONIUM SULFATE,"Oxidizing Agents, Weak;Salts, Acidic",27455,"Oxidizing Agents, Weak;Salts, Acidic",MATCH
1570-64-5,P-CHLORO-O-CRESOL,Aryl Halides;Phenols and Cresols,14855,Aryl Halides;Phenols and Cresols,MATCH
1571-08-0,METHYL-P-FORMYLBENZOATE,"Aldehydes;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",15294,"Aldehydes;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",MATCH
15715-41-0,DIETHYL METHYLPHOSPHONITE,"Amines, Phosphines, and Pyridines;Reducing Agents, Weak",85063,"Amines, Phosphines, and Pyridines;Reducing Agents, Weak",MATCH
15791-78-3,DISPERSE BLUE 27,"Amines, Phosphines, and Pyridines;Ketones;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic;Phenols and Cresols",5360487,"Amines, Phosphines, and Pyridines;Ketones;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic;Phenols and Cresols",MATCH
15805-73-9,VINYL CARBAMATE,"Carbamates;Hydrocarbons, Aliphatic Unsaturated",27492,"Carbamates;Hydrocarbons, Aliphatic Unsaturated",MATCH
1582-09-8,TRIFLURALIN,"Amines, Aromatic;Fluorinated Organic Compounds;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",5569,"Amines, Aromatic;Fluorinated Organic Compounds;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",MATCH
15825-70-4,"MANITOL HEXANITRATE, [WET WITH &gt;= 40 % WATER OR MIXTURE OF ALCOHOL AND WATER]","Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic;Water and Aqueous Solutions",61818,"Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic;Water and Aqueous Solutions",MATCH
15829-53-5,MERCURY OXIDE,"Metals, Less Reactive agents;Oxidizing Agents, Weak",16683011,"Metals, Less Reactive agents;Oxidizing Agents, Weak",MATCH
15834-33-0,PHOSPHORODITHIOIC ACID ALCOHOL,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",152119,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",MATCH
15950-66-0,"2,3,4-TRICHLOROPHENOL","Acids, Weak;Aryl Halides;Phenols and Cresols",27582,"Acids, Weak;Aryl Halides;Phenols and Cresols",MATCH
1596-84-5,"SUCCINIC ACID 2,2-DIMETHYLHYDRAZIDE","Acids, Carboxylic;Amides and Imides;Azo, Diazo, Azido, Hydrazine, and Azide Compounds",15331,"Acids, Carboxylic;Amides and Imides;Azo, Diazo, Azido, Hydrazine, and Azide Compounds",MATCH
15972-60-8,ALACHLOR,"Amides and Imides;Amines, Aromatic;Halogenated Organic Compounds",2078,"Amides and Imides;Amines, Aromatic;Halogenated Organic Compounds",MATCH
1600-27-7,MERCURY ACETATE,"Salts, Basic",15337,"Salts, Basic",MATCH
16039-52-4,COPPER LACTATE,"Alcohols and Polyols;Salts, Basic",13145,"Alcohols and Polyols;Salts, Basic",MATCH
16051-77-7,ISOSORBIDE-5-MONONITRATE,"Alcohols and Polyols;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",27661,"Alcohols and Polyols;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",MATCH
1606-67-3,1-AMINOPYRENE,"Amines, Aromatic;Hydrocarbons, Aromatic",15352,"Amines, Aromatic;Hydrocarbons, Aromatic",MATCH
16066-38-9,DI-N-PROPYL PEROXYDICARBONATE,"Peroxides, Organic",85264,"Peroxides, Organic",MATCH
16071-86-6,C.I. DIRECT BROWN 95,"Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Phenols and Cresols;Salts, Basic",,,ERROR
16091-18-2,DI(N-OCTYL)TIN MALEATE,"Hydrocarbons, Aliphatic Unsaturated;Organometallics",86748249,"Hydrocarbons, Aliphatic Unsaturated;Organometallics",MATCH
16110-51-3,CHROMOGLICIC ACID,"Acids, Carboxylic;Alcohols and Polyols;Ketones",2882,"Acids, Carboxylic;Alcohols and Polyols;Ketones",MATCH
16111-62-9,"DI-(2-ETHYLHEXYL) PEROXYDICARBONATE, [TECHNICALLY PURE]","Peroxides, Organic",85963,"Peroxides, Organic",MATCH
1615-80-1,"HYDRAZINE, 1,2-DIETHYL-","Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Bases, Weak",15374,"Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Bases, Weak",MATCH
16215-49-9,BUTYL PEROXYDICARBONATE,"Peroxides, Organic",61830,"Peroxides, Organic",MATCH
1622-32-8,"ETHANESULFONYL CHLORIDE, 2-CHLORO-","Acyl Halides, Sulfonyl Halides, and Chloroformates;Halogenated Organic Compounds",15385,"Acyl Halides, Sulfonyl Halides, and Chloroformates;Halogenated Organic Compounds",MATCH
1623-24-1,ISOPROPYL ACID PHOSPHATE,"Acids, Weak;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",15391,"Acids, Weak;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",MATCH
16238-56-5,7-BROMOMETHYL-12-METHYLBENZ(A)ANTHRACENE,"Halogenated Organic Compounds;Hydrocarbons, Aromatic",27767,"Halogenated Organic Compounds;Hydrocarbons, Aromatic",MATCH
16323-43-6,"3,3&#39;-(1,4-PHENYLENE)BIS-2-PROPENOIC ACID","Acids, Carboxylic;Acrylates and Acrylic Acids;Hydrocarbons, Aliphatic Unsaturated",759280,"Acids, Carboxylic;Acrylates and Acrylic Acids;Hydrocarbons, Aliphatic Unsaturated",MATCH
1634-78-2,MALAOXON,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",15415,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",MATCH
1642-54-2,DIETHYLCARBAMAZINE CITRATE,"Alcohols and Polyols;Amides and Imides;Amines, Phosphines, and Pyridines",15432,"Alcohols and Polyols;Amides and Imides;Amines, Phosphines, and Pyridines",MATCH
1643-20-5,DIMETHYLDODECYLAMINE-N-OXIDE,"Amines, Phosphines, and Pyridines;Oxidizing Agents, Weak",15433,"Amines, Phosphines, and Pyridines;Oxidizing Agents, Weak",MATCH
16452-01-0,O-CRESIDINE,"Amines, Aromatic",27882,"Amines, Aromatic",MATCH
1646-75-9,ALDICARB OXIME,"Oximes;Sulfides, Organic",9570092,"Oximes;Sulfides, Organic",MATCH
1646-88-4,ALDICARB SULFONE,"Carbamates;Oximes;Sulfonates, Phosphonates, and Thiophosphonates, Organic",15438,"Carbamates;Oximes;Sulfonates, Phosphonates, and Thiophosphonates, Organic",MATCH
1649-08-7,"1,2-DICHLORO-1,1-DIFLUOROETHANE",Fluorinated Organic Compounds,15442,Fluorinated Organic Compounds,MATCH
16529-56-9,2-METHYL-3-BUTENENITRILE,"Hydrocarbons, Aliphatic Unsaturated;Nitriles",27909,"Hydrocarbons, Aliphatic Unsaturated;Nitriles",MATCH
16543-55-8,N-NITROSONORNICOTINE,"Amines, Phosphines, and Pyridines;Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",12613538,"Amines, Phosphines, and Pyridines;Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",MATCH
16561-29-8,12-O-TETRADECANOYLPHORBOL-13-ACETATE,"Alcohols and Polyols;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Hydrocarbons, Aliphatic Unsaturated",27924,"Alcohols and Polyols;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Hydrocarbons, Aliphatic Unsaturated",MATCH
16721-80-5,"SODIUM HYDROSULFIDE, SOLID, WITH LESS THAN 25% WATER OF CRYSTALLIZATION","Bases, Weak;Sulfides, Inorganic;Water and Aqueous Solutions",28015,"Bases, Weak;Sulfides, Inorganic;Water and Aqueous Solutions",MATCH
16731-55-8,POTASSIUM METABISULFITE,Sulfite and Thiosulfate Salts,28019,Sulfite and Thiosulfate Salts,MATCH
1675-54-3,BISPHENOL A DIGLYCIDYL ETHER,Epoxides;Ethers,2286,Epoxides;Ethers,MATCH
16752-77-5,METHOMYL,"Carbamates;Sulfides, Organic",4109,"Carbamates;Sulfides, Organic",MATCH
1684-40-8,"1,2,3,4-TETRAHYDRO-9-AMINOACRIDINE HYDROCHLORIDE MONOHYDRATE","Salts, Acidic",2723754,"Salts, Acidic",MATCH
16853-85-3,LITHIUM ALUMINUM HYDRIDE,"Metal Hydrides, Metal Alkyls, Metal Aryls, and Silanes",28112,"Metal Hydrides, Metal Alkyls, Metal Aryls, and Silanes",MATCH
16871-71-9,ZINC FLUOROSILICATE,"Halogenating Agents;Salts, Basic",28116,"Halogenating Agents;Salts, Basic",MATCH
16871-90-2,POTASSIUM FLUOROSILICATE,"Halogenating Agents;Salts, Basic",61851,"Halogenating Agents;Salts, Basic",MATCH
16872-11-0,FLUOROBORIC ACID,"Acids, Strong Non-oxidizing",28118,"Acids, Strong Non-oxidizing",MATCH
1689-84-5,BROMOXYNIL,Alcohols and Polyols;Aryl Halides;Nitriles,15531,Alcohols and Polyols;Aryl Halides;Nitriles,MATCH
1689-99-2,"BROMOXYNIL OCTANOATE, [SOLID]","Aryl Halides;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Nitriles",15533,"Aryl Halides;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Nitriles",MATCH
16890-85-0,CHLOROTHIOFORMIC ACID,"Acyl Halides, Sulfonyl Halides, and Chloroformates;Sulfides, Organic",17775,"Acyl Halides, Sulfonyl Halides, and Chloroformates;Sulfides, Organic",MATCH
16893-85-9,SODIUM FLUOROSILICATE,"Halogenating Agents;Salts, Basic",28127,"Halogenating Agents;Salts, Basic",MATCH
16919-19-0,AMMONIUM FLUOROSILICATE,"Halogenating Agents;Salts, Basic",28145,"Halogenating Agents;Salts, Basic",MATCH
16923-95-8,ZIRCONIUM POTASSIUM FLUORIDE,"Salts, Acidic",56828182,"Salts, Acidic",MATCH
1693-71-6,TRIALLYL BORATE,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Hydrocarbons, Aliphatic Unsaturated",62415,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Hydrocarbons, Aliphatic Unsaturated",MATCH
16938-22-0,"2,2,4-TRIMETHYLHEXAMETHYLENE DIISOCYANATE",Isocyanates and Isothiocyanates,61858,Isocyanates and Isothiocyanates,MATCH
1694-09-3,BENZYL VIOLET 4B,"Amines, Phosphines, and Pyridines;Conjugated Dienes;Quaternary Ammonium and Phosphonium Salts;Salts, Basic;Sulfonates, Phosphonates, and Thiophosphonates, Organic",131849478,"Amines, Phosphines, and Pyridines;Conjugated Dienes;Quaternary Ammonium and Phosphonium Salts;Salts, Basic;Sulfonates, Phosphonates, and Thiophosphonates, Organic",MATCH
16940-66-2,SODIUM BOROHYDRIDE,"Bases, Strong;Metal Hydrides, Metal Alkyls, Metal Aryls, and Silanes;Water and Aqueous Solutions",4311764,"Bases, Strong;Metal Hydrides, Metal Alkyls, Metal Aryls, and Silanes;Water and Aqueous Solutions",MATCH
16940-81-1,HEXAFLUOROPHOSPHORIC ACID,"Acids, Strong Non-oxidizing;Fluoride Salts, Soluble;Water and Aqueous Solutions",16211447,"Acids, Strong Non-oxidizing;Fluoride Salts, Soluble;Water and Aqueous Solutions",MATCH
16941-12-1,"CHLOROPLATINIC ACID, SOLID","Acids, Weak",61859,"Acids, Weak",MATCH
16949-15-8,LITHIUM BOROHYDRIDE,"Metal Hydrides, Metal Alkyls, Metal Aryls, and Silanes",4148881,"Metal Hydrides, Metal Alkyls, Metal Aryls, and Silanes",MATCH
16949-65-8,MAGNESIUM FLUOROSILICATE,"Salts, Basic",61861,"Salts, Basic",MATCH
16961-83-4,FLUOROSILICIC ACID,"Acids, Strong Non-oxidizing;Fluoride Salts, Soluble;Water and Aqueous Solutions",21863527,"Acids, Strong Non-oxidizing;Fluoride Salts, Soluble;Water and Aqueous Solutions",MATCH
16962-07-5,ALUMINUM BOROHYDRIDE,"Metal Hydrides, Metal Alkyls, Metal Aryls, and Silanes",6328559,"Metal Hydrides, Metal Alkyls, Metal Aryls, and Silanes",MATCH
17014-71-0,POTASSIUM PEROXIDE,"Bases, Strong;Oxidizing Agents, Strong",28202,"Bases, Strong;Oxidizing Agents, Strong",MATCH
17026-81-2,3-AMINO-4-ETHOXYACETANILIDE,"Amides and Imides;Amines, Aromatic",28207,"Amides and Imides;Amines, Aromatic",MATCH
1703-58-8,"1,2,3,4-BUTANETETRACARBOXYLIC ACID","Acids, Carboxylic",15560,"Acids, Carboxylic",MATCH
1705-60-8,"2,2-DI-(4,4-DI-TERT-BUTYLPEROXYCYCLOHEXYL)PROPANE","Acetals, Ketals, Hemiacetals, and Hemiketals;Peroxides, Organic",2734924,"Acetals, Ketals, Hemiacetals, and Hemiketals;Peroxides, Organic",MATCH
17070-45-0,ICR 191,"Amines, Phosphines, and Pyridines;Aryl Halides;Ethers;Halogenated Organic Compounds;Salts, Acidic",54606642,"Amines, Phosphines, and Pyridines;Aryl Halides;Ethers;Halogenated Organic Compounds;Salts, Acidic",MATCH
17084-08-1,"FLUOROSILICATES, N.O.S.","Fluoride Salts, Soluble",28117,"Fluoride Salts, Soluble",MATCH
1712-87-4,DI-(2-METHYLBENZOYL)PEROXIDE,"Peroxides, Organic",14121487,"Peroxides, Organic",MATCH
1719-05-7,D&amp;C ORANGE 5 ZIRCONIUM LAKE,"Alcohols and Polyols;Amines, Phosphines, and Pyridines;Hydrocarbons, Aromatic",22833494,"Alcohols and Polyols;Amines, Phosphines, and Pyridines;Hydrocarbons, Aromatic",MATCH
17341-40-1,"1,1-DIMETHYL-1-(2-HYDROXYPROPYLAMINE)METHACRYLIMIDE","Alcohols and Polyols;Amides and Imides;Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Hydrocarbons, Aliphatic Unsaturated;Quaternary Ammonium and Phosphonium Salts",118984389,"Alcohols and Polyols;Amides and Imides;Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Hydrocarbons, Aliphatic Unsaturated;Quaternary Ammonium and Phosphonium Salts",MATCH
17369-59-4,3-PROPYLIDENE PHTHALIDE,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Hydrocarbons, Aliphatic Unsaturated",28500,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Hydrocarbons, Aliphatic Unsaturated",MATCH
1737-93-5,"3,5-DICHLORO-2,4,6-TRIFLUOROPYRIDINE","Amines, Phosphines, and Pyridines;Aryl Halides",61273,"Amines, Phosphines, and Pyridines;Aryl Halides",MATCH
1738-25-6,DIMETHYLAMINOPROPIONITRILE,"Amines, Phosphines, and Pyridines;Nitriles",15615,"Amines, Phosphines, and Pyridines;Nitriles",MATCH
17418-58-5,DISPERSE RED 60,"Amines, Phosphines, and Pyridines;Ethers;Ketones;Phenols and Cresols",28531,"Amines, Phosphines, and Pyridines;Ethers;Ketones;Phenols and Cresols",MATCH
17433-31-7,1-ACETYL-2-PICOLINOYLHYDRAZINE,"Amides and Imides;Amines, Phosphines, and Pyridines;Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Hydrocarbons, Aromatic",28545,"Amides and Imides;Amines, Phosphines, and Pyridines;Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Hydrocarbons, Aromatic",MATCH
1746-01-6,"2,3,7,8-TETRACHLORODIBENZO-P-DIOXIN (TCDD)",Aryl Halides;Ethers,15625,Aryl Halides;Ethers,MATCH
1747-60-0,2-AMINO-6-METHOXYBENZOTHIAZOLE,"Amines, Phosphines, and Pyridines;Sulfides, Organic",15630,"Amines, Phosphines, and Pyridines;Sulfides, Organic",MATCH
1752-30-3,ACETONE THIOSEMICARBAZIDE,"Amines, Phosphines, and Pyridines;Azo, Diazo, Azido, Hydrazine, and Azide Compounds",2770166,"Amines, Phosphines, and Pyridines;Azo, Diazo, Azido, Hydrazine, and Azide Compounds",MATCH
17557-23-2,NEOPENTYL GLYCOL DIGLYCIDYL ETHER,Epoxides;Ethers,28594,Epoxides;Ethers,MATCH
1758-73-2,THIOUREA DIOXIDE,"Acids, Weak;Amides and Imides;Reducing Agents, Weak",61274,"Acids, Weak;Amides and Imides;Reducing Agents, Weak",MATCH
1761-71-3,"4,4&#39;-DIAMINODICYCLOHEXYL METHANE","Amines, Phosphines, and Pyridines",15660,"Amines, Phosphines, and Pyridines",MATCH
1762-95-4,AMMONIUM THIOCYANATE,"Reducing Agents, Strong;Salts, Acidic;Water and Aqueous Solutions",15666,"Reducing Agents, Strong;Salts, Acidic;Water and Aqueous Solutions",MATCH
17639-93-9,METHYL 2-CHLOROPROPIONATE,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Halogenated Organic Compounds",28659,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Halogenated Organic Compounds",MATCH
17673-25-5,PHORBOL,"Alcohols and Polyols;Hydrocarbons, Aliphatic Unsaturated",442070,"Alcohols and Polyols;Hydrocarbons, Aliphatic Unsaturated",MATCH
17700-09-3,"2,3,4-TRICHLORONITROBENZENE","Aryl Halides;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",28697,"Aryl Halides;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",MATCH
17702-41-9,DECABORANE,"Reducing Agents, Strong",,,ERROR
