cas_number,chemical_name,expected_group,pubchem_cid,pubchem_groups,status
68085-85-8,CYHALOTHRIN,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Ethers;Fluorinated Organic Compounds;Halogenated Organic Compounds;Hydrocarbons, Aliphatic Unsaturated;Nitriles",5281873,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Ethers;Fluorinated Organic Compounds;Halogenated Organic Compounds;Hydrocarbons, Aliphatic Unsaturated;Nitriles",MATCH
68131-40-8,ETHOXYLATED PENTADECANOL,Alcohols and Polyols;Ethers,,,ERROR
68131-73-7,POLYETHYLENE POLYAMINE,"Amines, Phosphines, and Pyridines",,,ERROR
68299-16-1,TERT-AMYL PEROXYNEODECANOATE,"Peroxides, Organic",110008,"Peroxides, Organic",MATCH
68334-30-5,"OIL, [FUEL, 1-D]","Hydrocarbons, Aliphatic Saturated",,,ERROR
68359-37-5,CYFLUTHRIN,"Aryl Halides;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Fluorinated Organic Compounds;Halogenated Organic Compounds;Hydrocarbons, Aliphatic Unsaturated;Nitriles",104926,"Aryl Halides;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Fluorinated Organic Compounds;Halogenated Organic Compounds;Hydrocarbons, Aliphatic Unsaturated;Nitriles",MATCH
684-93-5,N-NITROSO-N-METHYLUREA,"Amides and Imides;Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",12699,"Amides and Imides;Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",MATCH
6842-15-5,PROPYLENE TETRAMER,"Hydrocarbons, Aliphatic Unsaturated;Polymerizable Compounds",22833307,"Hydrocarbons, Aliphatic Unsaturated;Polymerizable Compounds",MATCH
68425-29-6,GASOLINE BLENDING STOCKS: ALKYLATES,"Hydrocarbons, Aliphatic Saturated",,,ERROR
68425-31-0,NATURAL GASOLINE,"Hydrocarbons, Aliphatic Saturated",,,ERROR
68476-30-2,"FUEL OIL, [NO. 2]","Hydrocarbons, Aliphatic Saturated",,,ERROR
68476-31-3,"FUEL OIL, [NO. 4]","Hydrocarbons, Aliphatic Saturated",,,ERROR
68476-85-7,LIQUEFIED PETROLEUM GAS,"Hydrocarbons, Aliphatic Saturated",,,ERROR
68511-50-2,SULFURIZED ISOBUTYLENE,"Ethers;Sulfides, Organic",,,ERROR
68514-06-7,VANILLAN BLACK LIQUOR,Aldehydes;Phenols and Cresols,,,ERROR
68551-12-2,ALCOHOL C-12 C-16 POLY (1-6) ETHOXYLATE,Alcohols and Polyols;Ethers,,,ERROR
68553-00-4,"FUEL OIL, [NO. 6]","Hydrocarbons, Aliphatic Saturated",,,ERROR
686-31-7,TERT-AMYL PEROXY-2-ETHYLHEXANOATE,"Peroxides, Organic",102465,"Peroxides, Organic",MATCH
686-68-0,DIHYDROUREA,Amides and Imides,12706,Amides and Imides,MATCH
68603-42-9,COCONUT OIL ACID DIETHANOLAMINE CONDENSATE (2/1),"Amines, Phosphines, and Pyridines",,,ERROR
68606-11-1,GASOLINES: STRAIGHT RUN,"Hydrocarbons, Aliphatic Saturated",,,ERROR
68783-78-8,DIMETHYL DITALLOW AMMONIUM CHLORIDE,"Hydrocarbons, Aliphatic Saturated;Non-Redox-Active Inorganic Compounds;Quaternary Ammonium and Phosphonium Salts",,,ERROR
68814-87-9,"DISTILLATES, [STRAIGHT RUN]","Hydrocarbons, Aliphatic Saturated",,,ERROR
68848-64-6,LITHIUM SILICON,"Metals, Alkali, Very Active",53470676,"Metals, Alkali, Very Active",MATCH
68915-66-2,"FATTY ACIDS, C5-10, ESTERS WITH POLYPENTAERYTHRITOL","Alcohols and Polyols;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",,,ERROR
68916-39-2,WITCH HAZEL,"Alcohols and Polyols;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",,,ERROR
68955-19-1,SODIUM ALKYL SULFATES,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Salts, Basic",,,ERROR
68956-68-3,"OILS, EDIBLE: VEGETABLE","Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Hydrocarbons, Aliphatic Unsaturated",,,ERROR
68956-82-1,"COBALT RESINATE, PRECIPITATED","Reducing Agents, Strong",,,ERROR
68975-47-3,ISOHEPTENE,"Hydrocarbons, Aliphatic Unsaturated;Polymerizable Compounds",77058,"Hydrocarbons, Aliphatic Unsaturated;Polymerizable Compounds",MATCH
69-05-6,QUINACRINE DIHYDROCHLORIDE,"Amines, Phosphines, and Pyridines;Aryl Halides;Ethers;Salts, Acidic",6239,"Amines, Phosphines, and Pyridines;Aryl Halides;Ethers;Salts, Acidic",MATCH
69-09-0,CHLORPROMAZINE HYDROCHLORIDE,"Amines, Phosphines, and Pyridines;Aryl Halides;Salts, Acidic;Sulfides, Organic",6240,"Amines, Phosphines, and Pyridines;Aryl Halides;Salts, Acidic;Sulfides, Organic",MATCH
69-57-8,"PENICILLIN G, SODIUM SALT","Amides and Imides;Salts, Acidic;Sulfides, Organic",23668834,"Amides and Imides;Salts, Acidic;Sulfides, Organic",MATCH
69-65-8,D-MANNITOL,Alcohols and Polyols,6251,Alcohols and Polyols,MATCH
69-72-7,SALICYLIC ACID,"Acids, Carboxylic;Phenols and Cresols",338,"Acids, Carboxylic;Phenols and Cresols",MATCH
69-74-9,CYTARABINE HYDROCHLORIDE,"Alcohols and Polyols;Amides and Imides;Salts, Basic",6252,"Alcohols and Polyols;Amides and Imides;Salts, Basic",MATCH
690-14-2,PROPYLPHOSPHONYL DIFLUORIDE,"Acyl Halides, Sulfonyl Halides, and Chloroformates;Sulfonates, Phosphonates, and Thiophosphonates, Organic",10558639,"Acyl Halides, Sulfonyl Halides, and Chloroformates;Sulfonates, Phosphonates, and Thiophosphonates, Organic",MATCH
69011-36-5,ETHOXYLATED TRIDECANOL,Alcohols and Polyols;Ethers,,,ERROR
692-42-2,DIETHYLARSINE,"Metal Hydrides, Metal Alkyls, Metal Aryls, and Silanes",6328051,"Metal Hydrides, Metal Alkyls, Metal Aryls, and Silanes",MATCH
6923-22-4,MONOCROTOPHOS,"Amides and Imides;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Hydrocarbons, Aliphatic Unsaturated",5371562,"Amides and Imides;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Hydrocarbons, Aliphatic Unsaturated",MATCH
693-21-0,DIETHYLENE GLYCOL DINITRATE,"Ethers;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",61198,"Ethers;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",MATCH
694-83-7,"1,2-DIAMINOCYCLOHEXANE","Amines, Phosphines, and Pyridines",4610,"Amines, Phosphines, and Pyridines",MATCH
69409-94-5,FLUVALINATE,"Amines, Phosphines, and Pyridines;Aryl Halides;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Fluorinated Organic Compounds;Nitriles",50516,"Amines, Phosphines, and Pyridines;Aryl Halides;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Fluorinated Organic Compounds;Nitriles",MATCH
6950-84-1,NAPHTHYLUREA,"Amides and Imides;Amines, Aromatic",81387,"Amides and Imides;Amines, Aromatic",MATCH
6959-47-3,2-(CHLOROMETHYL)PYRIDINE HYDROCHLORIDE,"Amines, Phosphines, and Pyridines;Halogenated Organic Compounds",23392,"Amines, Phosphines, and Pyridines;Halogenated Organic Compounds",MATCH
6959-48-4,3-(CHLOROMETHYL)PYRIDINE HYDROCHLORIDE,"Amines, Phosphines, and Pyridines;Halogenated Organic Compounds",23394,"Amines, Phosphines, and Pyridines;Halogenated Organic Compounds",MATCH
696-28-6,PHENYLDICHLOROARSINE,"Acyl Halides, Sulfonyl Halides, and Chloroformates",12762,"Acyl Halides, Sulfonyl Halides, and Chloroformates",MATCH
69655-05-6,"2&#39;,3&#39;-DIDEOXYINOSINE","Alcohols and Polyols;Amides and Imides;Amines, Phosphines, and Pyridines",135398739,"Alcohols and Polyols;Amides and Imides;Amines, Phosphines, and Pyridines",MATCH
69806-50-4,FLUAZIFOP BUTYL,"Amines, Phosphines, and Pyridines;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Fluorinated Organic Compounds",50897,"Amines, Phosphines, and Pyridines;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Fluorinated Organic Compounds",MATCH
70-11-1,PHENACYL BROMIDE,Halogenated Organic Compounds;Ketones,6259,Halogenated Organic Compounds;Ketones,MATCH
70-25-7,N-METHYL-N&#39;-NITRO-N-NITROSOGUANIDINE,"Amines, Phosphines, and Pyridines;Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",135436526,"Amines, Phosphines, and Pyridines;Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",MATCH
70-30-4,HEXACHLOROPHENE,Aryl Halides;Phenols and Cresols,3598,Aryl Halides;Phenols and Cresols,MATCH
70-34-8,"2,4-DINITROFLUOROBENZENE","Aryl Halides;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",6264,"Aryl Halides;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",MATCH
70-69-9,"PROPIOPHENONE, 4&#39;-AMINO-","Amines, Aromatic;Ketones",6270,"Amines, Aromatic;Ketones",MATCH
70027-50-8,COPPER SELENATE,"Oxidizing Agents, Weak;Salts, Basic",44147825,"Oxidizing Agents, Weak;Salts, Basic",MATCH
70042-58-9,TERT-BUTYLCYCLOHEXYL CHLOROFORMATE,"Acyl Halides, Sulfonyl Halides, and Chloroformates",3033862,"Acyl Halides, Sulfonyl Halides, and Chloroformates",MATCH
7005-72-3,4-CHLOROPHENYL PHENYL ETHER,Aryl Halides;Ethers,23436,Aryl Halides;Ethers,MATCH
7008-42-6,ACRONYCINE,"Amines, Phosphines, and Pyridines;Ethers;Hydrocarbons, Aliphatic Unsaturated;Ketones",345512,"Amines, Phosphines, and Pyridines;Ethers;Hydrocarbons, Aliphatic Unsaturated;Ketones",MATCH
70351-85-8,HEXABUTOXYTRIPHENYLENE,Ethers,10908485,Ethers,MATCH
70399-13-2,LITHIUM FERROSILICON,"Metals, Elemental and Powder, Active",23663317,"Metals, Elemental and Powder, Active",MATCH
7040-57-5,CHLOROSOMAN,"Acyl Halides, Sulfonyl Halides, and Chloroformates;Sulfonates, Phosphonates, and Thiophosphonates, Organic",145983,"Acyl Halides, Sulfonyl Halides, and Chloroformates;Sulfonates, Phosphonates, and Thiophosphonates, Organic",MATCH
70892-11-4,"FUEL OIL, [NO. 5]","Hydrocarbons, Aliphatic Saturated",,,ERROR
709-98-8,PROPANIL,"Amides and Imides;Amines, Aromatic;Aryl Halides",4933,"Amides and Imides;Amines, Aromatic;Aryl Halides",MATCH
70955-34-9,"FATTY ACIDS, TALL OIL, REACTION PRODUCTS WITH 2-[(2-AMINOETHYL)-\ AMINO]ETHANOL, QUATERNIZED WITH DIETHYL SULFATE","Acids, Carboxylic;Alcohols and Polyols;Amines, Phosphines, and Pyridines;Hydrocarbons, Aliphatic Saturated",,,ERROR
