cas_number,chemical_name,group_id,group_name,source,course,experiment
7440-31-5,TIN,42,"Metals, Less Reactive agents",reaction_frequency_high,,
7440-33-7,TUNGSTEN,42,"Metals, Less Reactive agents",reaction_frequency_high,,
7440-38-2,ARSENIC,42,"Metals, Less Reactive agents",reaction_frequency_high,,
7440-55-3,GALLIUM,42,"Metals, Less Reactive agents",reaction_frequency_high,,
7487-94-7,MERCURIC CHLORIDE,42,"Metals, Less Reactive agents",reaction_frequency_high,,
7647-10-1,PALLADIUM CHLORIDE,42,"Metals, Less Reactive agents",reaction_frequency_high,,
7774-29-0,MERCURY IODIDE,42,"Metals, Less Reactive agents",reaction_frequency_high,,
7783-33-7,"MERCURIC POTASSIUM IODIDE, [SOLID]",42,"Metals, Less Reactive agents",reaction_frequency_high,,
7783-35-9,MERCURIC SULFATE,42,"Metals, Less Reactive agents",reaction_frequency_high,,
7783-36-0,MERCUROUS SULFATE,42,"Metals, Less Reactive agents",reaction_frequency_high,,
7789-47-1,MERCURIC BROMIDE,42,"Metals, Less Reactive agents",reaction_frequency_high,,
8049-19-2,FERROPHOSPHORUS,42,"Metals, Less Reactive agents",reaction_frequency_high,,
10137-74-3,CALCIUM CHLORATE,50,"Oxidizing Agents, Strong",reaction_frequency_high,,
10326-21-3,MAGNESIUM CHLORATE,50,"Oxidizing Agents, Strong",reaction_frequency_high,,
10361-95-2,ZINC CHLORATE,50,"Oxidizing Agents, Strong",reaction_frequency_high,,
11084-85-8,CHLORINATED TRISODIUM PHOSPHATE,50,"Oxidizing Agents, Strong",reaction_frequency_high,,
1189-85-1,T-BUTYL CHROMATE,50,"Oxidizing Agents, Strong",reaction_frequency_high,,
12034-12-7,SODIUM SUPEROXIDE,50,"Oxidizing Agents, Strong",reaction_frequency_high,,
12036-71-4,URANIUM PEROXIDE,50,"Oxidizing Agents, Strong",reaction_frequency_high,,
1304-29-6,BARIUM PEROXIDE,50,"Oxidizing Agents, Strong",reaction_frequency_high,,
1305-79-9,CALCIUM PEROXIDE,50,"Oxidizing Agents, Strong",reaction_frequency_high,,
1309-60-0,LEAD DIOXIDE,50,"Oxidizing Agents, Strong",reaction_frequency_high,,
1313-60-6,SODIUM PEROXIDE,50,"Oxidizing Agents, Strong",reaction_frequency_high,,
1314-18-7,STRONTIUM PEROXIDE,50,"Oxidizing Agents, Strong",reaction_frequency_high,,
1314-22-3,ZINC PEROXIDE,50,"Oxidizing Agents, Strong",reaction_frequency_high,,
