CAS_Number,Chemical_Name,Reactive_Group_IDs,Reactive_Groups
104-12-1,P-CHLOROPHENYL ISOCYANATE,16;37,Aryl Halides;Isocyanates and Isothiocyanates
104-15-4,"TOLUENE SULFONIC ACID, LIQUID, WITH MORE THAN 5% FREE SULFURIC ACID",4,"Acids, Strong Oxidizing"
104-28-9,2-ETHOXYETHYL-P-METHOXYCINNAMATE,27;28;34,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Ethers;Hydrocarbons, Aliphatic Unsaturated"
104-46-1,ANETHOLE,28;34,"Ethers;Hydrocarbons, Aliphatic Unsaturated"
104-49-4,"1,4-PHENYLENE DIISOCYANATE",37,Isocyanates and Isothiocyanates
104-72-3,N-DECYLBENZENE,35,"Hydrocarbons, Aromatic"
104-75-6,2-ETHYLHEXYLAMINE,14,"Amines, Phosphines, and Pyridines"
104-85-8,P-TOLUNITRILE,45,Nitriles
104-88-1,4-CHLOROBENZALDEHYDE,9;16;35,"Aldehydes;Aryl Halides;Hydrocarbons, Aromatic"
104-94-9,P-ANISIDINE,13;28,"Amines, Aromatic;Ethers"
10421-48-4,FERRIC NITRATE,43,"Nitrate and Nitrite Compounds, Inorganic"
10431-47-7,POTASSIUM SELENITE,65,Sulfite and Thiosulfate Salts
10453-86-8,RESMETHRIN,27;28;34,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Ethers;Hydrocarbons, Aliphatic Unsaturated"
105-11-3,P-QUINONE DIOXIME,8;14;34,"Alcohols and Polyols;Amines, Phosphines, and Pyridines;Hydrocarbons, Aliphatic Unsaturated"
105-16-8,"DIETHYLAMINOETHYLMETHACRYLATE, [LIQUID]",6;14;56,"Acrylates and Acrylic Acids;Amines, Phosphines, and Pyridines;Polymerizable Compounds"
105-40-8,"N-METHYLCARBAMIC ACID, ETHYL ESTER",20,Carbamates
105-48-6,ISOPROPYL CHLOROACETATE,27;31,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Halogenated Organic Compounds"
105-55-5,"N,N&#39;-DIETHYLTHIOUREA",12,Amides and Imides
105-56-6,ETHYL CYANOACETATE,27;45,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Nitriles"
105-59-9,METHYLDIETHANOLAMINE,8;14,"Alcohols and Polyols;Amines, Phosphines, and Pyridines"
105-60-2,CAPROLACTAM,12;56,Amides and Imides;Polymerizable Compounds
105-64-6,DIISOPROPYL PEROXYDICARBONATE,53,"Peroxides, Organic"
105-74-8,LAUROYL PEROXIDE,53,"Peroxides, Organic"
105-79-3,ISOBUTYL CAPROATE,27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
105-87-3,GERANYL ACETATE,27;34,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Hydrocarbons, Aliphatic Unsaturated"
10544-63-5,ETHYL CROTONATE,27;34,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Hydrocarbons, Aliphatic Unsaturated"
106-20-7,"2,2&#39;-DIETHYLHEXYLAMINE",14,"Amines, Phosphines, and Pyridines"
106-24-1,GERANIOL,8;34,"Alcohols and Polyols;Hydrocarbons, Aliphatic Unsaturated"
106-31-0,BUTYRIC ANHYDRIDE,15,Anhydrides
106-38-7,P-BROMOTOLUENE,16,Aryl Halides
106-40-1,P-BROMOANILINE,13;16,"Amines, Aromatic;Aryl Halides"
106-47-8,P-CHLOROANILINE,13;16,"Amines, Aromatic;Aryl Halides"
106-48-9,P-CHLOROPHENOL,16;55,Aryl Halides;Phenols and Cresols
106-49-0,P-TOLUIDINE,13,"Amines, Aromatic"
106-50-3,P-PHENYLENEDIAMINE,13,"Amines, Aromatic"
106-51-4,BENZOQUINONE,38,Ketones
106-70-7,METHYL CAPROATE,27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
106-87-6,1-VINYL-3-CYCLOHEXENE DIOXIDE,26;56,Epoxides;Polymerizable Compounds
106-90-1,GLYCIDYL ACRYLATE,6;26;56,Acrylates and Acrylic Acids;Epoxides;Polymerizable Compounds
106-91-2,GLYCIDYL METHACRYLATE,6;26;56,Acrylates and Acrylic Acids;Epoxides;Polymerizable Compounds
10605-21-7,CARBENDAZIM,14;20,"Amines, Phosphines, and Pyridines;Carbamates"
