CAS_Number,Chemical_Name,Reactive_Group_IDs,Reactive_Groups
3085-26-5,ISODECALDEHYDE,9,Aldehydes
3087-37-4,TETRAPROPYL ORTHOTITANATE,18,"Bases, Strong"
309-00-2,"ALDRIN, LIQUID",31;34,"Halogenated Organic Compounds;Hydrocarbons, Aliphatic Unsaturated"
309-36-4,SODIUM METHOHEXITAL,11;12;19;34;61,"Alkynes, with No Acetylenic Hydrogen;Amides and Imides;Bases, Weak;Hydrocarbons, Aliphatic Unsaturated;Salts, Basic"
3097-08-3,"DODECYL SULFATE, [MAGNESIUM SALT]",33;61,"Hydrocarbons, Aliphatic Saturated;Salts, Basic"
3101-60-8,P-TERT-BUTYLPHENYL GLYCIDYL ETHER,26;28,Epoxides;Ethers
3105-97-3,HYCANTHONE,8;14;38;64,"Alcohols and Polyols;Amines, Phosphines, and Pyridines;Ketones;Sulfides, Organic"
311-45-5,DIETHYL-P-NITROPHENYL PHOSPHATE,27;46,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
3113-71-1,3-METHYL-4-NITROBENZOIC ACID,2;46,"Acids, Carboxylic;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
3113-72-2,5-METHYL-2-NITROBENZOIC ACID,2;46,"Acids, Carboxylic;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
3118-97-6,C.I. SOLVENT ORANGE 7,17;55,"Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Phenols and Cresols"
3121-61-7,2-METHOXYETHYL ACRYLATE,6;28;56,Acrylates and Acrylic Acids;Ethers;Polymerizable Compounds
31212-28-9,NITROBENZENESULFONIC ACID,4;46,"Acids, Strong Oxidizing;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
31218-83-4,PROPETAMPHOS,14;27;34,"Amines, Phosphines, and Pyridines;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Hydrocarbons, Aliphatic Unsaturated"
31282-04-9,HYGROMYCIN B,8;14;28,"Alcohols and Polyols;Amines, Phosphines, and Pyridines;Ethers"
3129-91-7,DICYCLOHEXYLAMMONIUM NITRITE,43;60,"Nitrate and Nitrite Compounds, Inorganic;Salts, Acidic"
3131-60-0,6-AZACYTIDINE,8;12;14,"Alcohols and Polyols;Amides and Imides;Amines, Phosphines, and Pyridines"
314-13-6,DIRECT BLUE 53,13;17;55,"Amines, Aromatic;Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Phenols and Cresols"
314-40-9,BROMACIL,12;14;16,"Amides and Imides;Amines, Phosphines, and Pyridines;Aryl Halides"
31430-18-9,NOCODAZOLE,14;20;64,"Amines, Phosphines, and Pyridines;Carbamates;Sulfides, Organic"
31431-39-7,MEBENDAZOLE,20;38,Carbamates;Ketones
315-18-4,MEXACARBATE,14;20,"Amines, Phosphines, and Pyridines;Carbamates"
315-30-0,"4-HYDROXYPYRAZOLO(3,4-D)PYRIMIDINE",12;14,"Amides and Imides;Amines, Phosphines, and Pyridines"
31551-45-8,"2,7-DINITRO-9H-FLUOREN-9-ONE",38;46,"Ketones;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
31565-19-2,ISOOCTYL ACETATE,27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
316-42-7,"EMETINE, DIHYDROCHLORIDE",28;35;60,"Ethers;Hydrocarbons, Aromatic;Salts, Acidic"
3160-37-0,PIPERONYL ACETONE,1;28;34;38,"Acetals, Ketals, Hemiacetals, and Hemiketals;Ethers;Hydrocarbons, Aliphatic Unsaturated;Ketones"
3165-93-3,4-CHLORO-O-TOLUIDINE HYDROCHLORIDE,16;60,"Aryl Halides;Salts, Acidic"
3173-72-6,"1,5-NAPHTHALENE DIISOCYANATE",37,Isocyanates and Isothiocyanates
3179-47-3,DECYL METHACRYLATE,6;56,Acrylates and Acrylic Acids;Polymerizable Compounds
3179-56-4,"ACETYL CYCLOHEXANESULFONYL PEROXIDE, [&lt;= 82%, WETTED WITH &gt;= 12% WATER]",53;66;68,"Peroxides, Organic;Sulfonates, Phosphonates, and Thiophosphonates, Organic;Water and Aqueous Solutions"
3179-90-6,DISPERSE BLUE 7,14;38;55,"Amines, Phosphines, and Pyridines;Ketones;Phenols and Cresols"
3188-13-4,CHLOROMETHYL ETHYL ETHER,28;31,Ethers;Halogenated Organic Compounds
319-84-6,ALPHA-BHC,31,Halogenated Organic Compounds
319-85-7,BETA-BHC,31,Halogenated Organic Compounds
319-86-8,DELTA-BHC,31,Halogenated Organic Compounds
320-67-2,5-AZACYTIDINE,8;12;14,"Alcohols and Polyols;Amides and Imides;Amines, Phosphines, and Pyridines"
3209-22-1,"2,3-DICHLORONITROBENZENE",16;46,"Aryl Halides;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
321-38-0,1-FLUORONAPHTHALENE,16;30,Aryl Halides;Fluorinated Organic Compounds
321-60-8,2-FLUOROBIPHENYL,16,Aryl Halides
322012-65-7,3-METHYL-6-METHOXY-2-AMINOBENZOTHIAZOLIUM CHLORIDE,14;57;64,"Amines, Phosphines, and Pyridines;Quaternary Ammonium and Phosphonium Salts;Sulfides, Organic"
3234-02-4,"TRANS-2,3-DIBROMO-2-BUTENE-1,4-DIOL",8;31;34,"Alcohols and Polyols;Halogenated Organic Compounds;Hydrocarbons, Aliphatic Unsaturated"
3234-28-4,"1,2-EPOXYTETRADECANE",26;56,Epoxides;Polymerizable Compounds
3237-50-1,ALLOXAN MONOHYDRATE,12;38,Amides and Imides;Ketones
3248-28-0,DIPROPIONYL PEROXIDE,53,"Peroxides, Organic"
3251-23-8,CUPRIC NITRATE,43,"Nitrate and Nitrite Compounds, Inorganic"
3252-43-5,DIBROMOACETONITRILE,31;45,Halogenated Organic Compounds;Nitriles
32534-81-9,PENTABROMODIPHENYL OXIDE,16;28,Aryl Halides;Ethers
32534-95-5,"2,4,5-TRICHLOROPHENOXYPROPIONIC ACID, ISOOCTYL ESTER",16;27;28,"Aryl Halides;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Ethers"
3254-63-5,"PHOSPHORIC ACID, DIMETHYL 4-(METHYLTHIO) PHENYL ESTER",5;27;64,"Acids, Weak;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Sulfides, Organic"
32588-76-4,"N,N-ETHYLENE-BIS(TETRABROMOPHTHALIMIDE)",12;16,Amides and Imides;Aryl Halides
326-61-4,PIPERONYL ACETATE,1;27;28,"Acetals, Ketals, Hemiacetals, and Hemiketals;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Ethers"
3266-23-7,"2,3-EPOXYBUTANE",26;56,Epoxides;Polymerizable Compounds
3268-87-9,OCTACHLORODIBENZO-P-DIOXIN,16;28,Aryl Halides;Ethers
327-98-0,TRICHLORONATE,16;66,"Aryl Halides;Sulfonates, Phosphonates, and Thiophosphonates, Organic"
328-84-7,"3,4-DICHLOROBENZOTRIFLUORIDE",16;30,Aryl Halides;Fluorinated Organic Compounds
3288-58-2,"O,O-DIETHYL S-METHYL DITHIOPHOSPHATE",27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
329-65-7,"3,4-DIHYDROXYL-ALPHA-[METHYLAMINO]METHYLBENZYL ALCOHOL",14;55,"Amines, Phosphines, and Pyridines;Phenols and Cresols"
329-71-5,"2,5-DINITROPHENOL",46;55,"Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic;Phenols and Cresols"
329-89-5,6-AMINONICOTINAMIDE,12;14,"Amides and Imides;Amines, Phosphines, and Pyridines"
329-99-7,CYCLO-SARIN,7;66,"Acyl Halides, Sulfonyl Halides, and Chloroformates;Sulfonates, Phosphonates, and Thiophosphonates, Organic"
3296-90-0,"2,2-BIS(BROMOMETHYL)-1,3-PROPANEDIOL",8;31,Alcohols and Polyols;Halogenated Organic Compounds
330-54-1,DIURON,12;16,Amides and Imides;Aryl Halides
330-55-2,LINURON,12;13;16,"Amides and Imides;Amines, Aromatic;Aryl Halides"
33069-62-4,TAXOL,8;12;27;34,"Alcohols and Polyols;Amides and Imides;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Hydrocarbons, Aliphatic Unsaturated"
33089-61-1,AMITRAZ,14;35,"Amines, Phosphines, and Pyridines;Hydrocarbons, Aromatic"
331-39-5,"3,4-DIHYDROXYCINNAMIC ACID",2;34;55,"Acids, Carboxylic;Hydrocarbons, Aliphatic Unsaturated;Phenols and Cresols"
3318-43-2,INDOL-3-YL SODIUM PHOSPHATE,14;27;61,"Amines, Phosphines, and Pyridines;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Salts, Basic"
3319-31-1,TRIS(2-ETHYLHEXYL) TRIMELLITATE,27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
33213-65-9,BETA-ENDOSULFAN,27;31;34,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Halogenated Organic Compounds;Hydrocarbons, Aliphatic Unsaturated"
3322-93-8,"1-(1,2-DIBROMOETHYL)-3,4-DIBROMOCYCLOHEXANE",31,Halogenated Organic Compounds
33229-34-4,HC BLUE 2,8;14;46,"Alcohols and Polyols;Amines, Phosphines, and Pyridines;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
333-41-5,DIAZINON,14;27,"Amines, Phosphines, and Pyridines;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
3333-52-6,TETRAMETHYLSUCCINONITRILE,45,Nitriles
33391-22-9,OFFSET NEWS BLACK NEWSPRINT INK,33,"Hydrocarbons, Aliphatic Saturated"
334-48-5,DECANOIC ACID,2,"Acids, Carboxylic"
334-88-3,DIAZOMETHANE,17,"Azo, Diazo, Azido, Hydrazine, and Azide Compounds"
335-76-2,PERFLUORODECANOIC ACID,2;30,"Acids, Carboxylic;Fluorinated Organic Compounds"
33703-08-1,DIISONONYL ADIPATE,27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
3383-96-8,TEMEPHOS,27;64,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Sulfides, Organic"
33857-26-0,"2,7-DICHLORODIBENZO-P-DIOXIN",28;31,Ethers;Halogenated Organic Compounds
3389-71-7,"1,2,3,4,7,7-HEXACHLOROBICYCLO[2.2.1]HEPTA-2,5-DIENE",23;31,Conjugated Dienes;Halogenated Organic Compounds
34014-18-1,TEBUTHIURON,12;17;64,"Amides and Imides;Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Sulfides, Organic"
34077-87-7,DICHLOROTRIFLUOROETHANE,30,Fluorinated Organic Compounds
341-69-5,ORPHENADRINE HYDROCHLORIDE,14;28,"Amines, Phosphines, and Pyridines;Ethers"
342-69-8,6-METHYLMERCAPTOPURINE RIBOSIDE,8;14;64,"Alcohols and Polyols;Amines, Phosphines, and Pyridines;Sulfides, Organic"
342-95-0,"O-D,L-SARCOLYSIN",2;14;31,"Acids, Carboxylic;Amines, Phosphines, and Pyridines;Halogenated Organic Compounds"
34216-34-7,TRIMETHYLCYCLOHEXYLAMINE,14,"Amines, Phosphines, and Pyridines"
3437-84-1,DIISOBUTYRYL PEROXIDE,53,"Peroxides, Organic"
3457-61-2,TERT-BUTYL CUMENE PEROXIDE,53,"Peroxides, Organic"
34580-13-7,KETOTIFEN,14;28;34;38,"Amines, Phosphines, and Pyridines;Ethers;Hydrocarbons, Aliphatic Unsaturated;Ketones"
346-18-9,POLYTHIAZIDE,14;16;30;66,"Amines, Phosphines, and Pyridines;Aryl Halides;Fluorinated Organic Compounds;Sulfonates, Phosphonates, and Thiophosphonates, Organic"
34651-95-1,"(MONO)-(TRICHLORO)-TETRA-(MONOPOTASSIUM DICHLORO)-PENTA-S-TRIAZINETRIONE, DRY",7;32;50;60,"Acyl Halides, Sulfonyl Halides, and Chloroformates;Halogenating Agents;Oxidizing Agents, Strong;Salts, Acidic"
348-54-9,2-FLUOROANILINE,13;16,"Amines, Aromatic;Aryl Halides"
34807-41-5,MEZEREIN,1;8;23;26;27;28;34;38,"Acetals, Ketals, Hemiacetals, and Hemiketals;Alcohols and Polyols;Conjugated Dienes;Epoxides;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Ethers;Hydrocarbons, Aliphatic Unsaturated;Ketones"
3486-35-9,ZINC CARBONATE,21,Carbonate Salts
34913-07-0,2-(P-PENTYLPHENYL)-5-(P-PENTYLOXYPHENYL)PYRIMIDINE,14,"Amines, Phosphines, and Pyridines"
3497-00-5,PHENYLPHOSPHORUS THIODICHLORIDE,7;66,"Acyl Halides, Sulfonyl Halides, and Chloroformates;Sulfonates, Phosphonates, and Thiophosphonates, Organic"
352-32-9,4-FLUOROTOLUENE,16,Aryl Halides
352-70-5,3-FLUOROTOLUENE,16,Aryl Halides
3524-68-3,PENTAERYTHRITOL TRIACRYLATE,6;8;56,Acrylates and Acrylic Acids;Alcohols and Polyols;Polymerizable Compounds
35367-38-5,DIFLUBENZURON,12;16;30,Amides and Imides;Aryl Halides;Fluorinated Organic Compounds
354-11-0,"1,1,1,2-TETRACHLORO-2-FLUOROETHANE",30,Fluorinated Organic Compounds
354-14-3,"1,1,2,2-TETRACHLORO-1-FLUOROETHANE",30,Fluorinated Organic Compounds
354-25-6,"1-CHLORO-1,1,2,2-TETRAFLUOROETHANE",30,Fluorinated Organic Compounds
354-33-6,PENTAFLUOROETHANE,30,Fluorinated Organic Compounds
35400-43-2,SULPROFOS,27;64,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Sulfides, Organic"
3546-10-9,PHENESTRIN,14;27;31;34,"Amines, Phosphines, and Pyridines;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Halogenated Organic Compounds;Hydrocarbons, Aliphatic Unsaturated"
3546-41-6,PYRVINIUM PAMOATE,13;55;57;61,"Amines, Aromatic;Phenols and Cresols;Quaternary Ammonium and Phosphonium Salts;Salts, Basic"
3547-04-4,DDE,16,Aryl Halides
35471-49-9,POTASSIUM 2-BENZYL-4-CHLOROPHENATE,16;54;61,"Aryl Halides;Phenolic Salts;Salts, Basic"
35554-44-0,IMAZALIL,14;16;34,"Amines, Phosphines, and Pyridines;Aryl Halides;Hydrocarbons, Aliphatic Unsaturated"
3563-36-8,SESQUIMUSTARD,31;58;64,"Halogenated Organic Compounds;Reducing Agents, Strong;Sulfides, Organic"
3564-09-8,PONCEAU 3R,17;47;55,"Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Non-Redox-Active Inorganic Compounds;Phenols and Cresols"
3567-69-9,C.I. ACID RED 14,17;55;61;66,"Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Phenols and Cresols;Salts, Basic;Sulfonates, Phosphonates, and Thiophosphonates, Organic"
3569-57-1,"SULFOXIDE, 3-CHLOROPROPYL OCTYL",31;66,"Halogenated Organic Compounds;Sulfonates, Phosphonates, and Thiophosphonates, Organic"
35691-65-7,"1-BROMO-1-(BROMOMETHYL)-1,3-PROPANEDICARBONITRILE",31;45;56,Halogenated Organic Compounds;Nitriles;Polymerizable Compounds
357-57-3,BRUCINE,12;14;28,"Amides and Imides;Amines, Phosphines, and Pyridines;Ethers"
3577-63-7,5-SULFOANTHRANILIC ACID,2;13;66,"Acids, Carboxylic;Amines, Aromatic;Sulfonates, Phosphonates, and Thiophosphonates, Organic"
3582-17-0,DIMETHYLTIN DIFLUORIDE,5;49,"Acids, Weak;Organometallics"
35822-46-9,"1,2,3,4,6,7,8-HEPTACHLORODIBENZO-P-DIOXIN",16;28,Aryl Halides;Ethers
35884-77-6,XYLYL BROMIDE,16,Aryl Halides
360-89-4,OCTAFLUOROBUT-2-ENE,30;34,"Fluorinated Organic Compounds;Hydrocarbons, Aliphatic Unsaturated"
36059-21-9,"3,4,5,6-TETRABROMO-O-XYLENE",16,Aryl Halides
3615-21-2,"BENZIMIDAZOLE, 4,5-DICHLORO-2-(TRIFLUOROMETHYL)-",14;16;30,"Amines, Phosphines, and Pyridines;Aryl Halides;Fluorinated Organic Compounds"
3626-28-6,DIRECT GREEN 1,13;17;55,"Amines, Aromatic;Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Phenols and Cresols"
36355-01-8,HEXABROMOBIPHENYL,16,Aryl Halides
36451-09-9,2-DIAZO-1-NAPHTHOL-4-SULFONYL CHLORIDE,7;8;17,"Acyl Halides, Sulfonyl Halides, and Chloroformates;Alcohols and Polyols;Azo, Diazo, Azido, Hydrazine, and Azide Compounds"
3648-20-2,DIUNDECYL PHTHALATE,27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
3648-21-3,DIHEPTYL PHTHALATE,27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
3653-48-3,METHOXONE SODIUM SALT,28;31;61,"Ethers;Halogenated Organic Compounds;Salts, Basic"
366-70-1,PROCARBAZINE HYDROCHLORIDE,12;17;35;60,"Amides and Imides;Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Hydrocarbons, Aromatic;Salts, Acidic"
3665-80-3,N-ETHYL-4-NITROANILINE,13;46,"Amines, Aromatic;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
367-12-4,2-FLUOROPHENOL,16;55,Aryl Halides;Phenols and Cresols
367-25-9,"2,4-DIFLUOROANILINE",13;16,"Amines, Aromatic;Aryl Halides"
367-51-1,"THIOGLYCOLIC ACID, SODIUM SALT",61;64,"Salts, Basic;Sulfides, Organic"
36791-04-5,RIBAVIRIN,8;12;14,"Alcohols and Polyols;Amides and Imides;Amines, Phosphines, and Pyridines"
3680-02-2,METHYL VINYL SULFONE,34;56;66,"Hydrocarbons, Aliphatic Unsaturated;Polymerizable Compounds;Sulfonates, Phosphonates, and Thiophosphonates, Organic"
3682-19-7,4-NITROPHTHALHYDRAZIDE,17;46,"Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
3687-22-7,"2,4-DINITRO-6-(1-METHYLHEPTYL)PHENOL",46;55,"Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic;Phenols and Cresols"
3688-53-7,AF-2,12;28;46,"Amides and Imides;Ethers;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
3689-24-5,TETRAETHYL DITHIOPYROPHOSPHATE,15;27,"Anhydrides;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
3691-35-8,CHLOROPHACINONE,16;38,Aryl Halides;Ketones
3697-24-3,5-METHYLCHRYSENE,35,"Hydrocarbons, Aromatic"
3709-43-1,"4,4&#39;-DINITRO-2,2&#39;-STILBENEDISULFONIC ACID DISODIUM SALT",34;46;47;66,"Hydrocarbons, Aliphatic Unsaturated;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic;Non-Redox-Active Inorganic Compounds;Sulfonates, Phosphonates, and Thiophosphonates, Organic"
3711-51-1,"DIETHYLTHIOPHOSPHORYL CHLORIDE, [LIQUID]",7,"Acyl Halides, Sulfonyl Halides, and Chloroformates"
37187-22-7,ACETYL ACETONE PEROXIDE,38;53,"Ketones;Peroxides, Organic"
372-09-8,CYANOACETIC ACID,2;5;45,"Acids, Carboxylic;Acids, Weak;Nitriles"
37206-20-5,METHYL ISOBUTYL KETONE PEROXIDE,38;53,"Ketones;Peroxides, Organic"
37224-57-0,ZINC POTASSIUM CHROMATE,50;61,"Oxidizing Agents, Strong;Salts, Basic"
373-02-4,NICKEL ACETATE,61,"Salts, Basic"
3731-39-3,2&#39;-METHYL-4-DIMETHYLAMINOAZOBENZENE,14;17,"Amines, Phosphines, and Pyridines;Azo, Diazo, Azido, Hydrazine, and Azide Compounds"
37324-23-5,PCB-1262,16,Aryl Halides
3734-97-2,AMITON OXALATE,14;60;66,"Amines, Phosphines, and Pyridines;Salts, Acidic;Sulfonates, Phosphonates, and Thiophosphonates, Organic"
3735-23-7,METHYL PHENKAPTON,16;27;64,"Aryl Halides;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Sulfides, Organic"
37527-56-3,"DIETHYL-P-TERPHENYL-P,P&#39;&#39;-CARBOXYLATE",27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
37558-16-0,"PHORBOL-12,13-DIBUTYRATE",8;27;34;38,"Alcohols and Polyols;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Hydrocarbons, Aliphatic Unsaturated;Ketones"
3761-53-3,C.I. FOOD RED 5,17;55;61;66,"Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Phenols and Cresols;Salts, Basic;Sulfonates, Phosphonates, and Thiophosphonates, Organic"
3770-97-6,2-DIAZO-1-NAPHTHOL-5-SULFONYL CHLORIDE,7;8;17,"Acyl Halides, Sulfonyl Halides, and Chloroformates;Alcohols and Polyols;Azo, Diazo, Azido, Hydrazine, and Azide Compounds"
3771-19-5,NAFENOPIN,2;28;35,"Acids, Carboxylic;Ethers;Hydrocarbons, Aromatic"
3782-80-7,ETHYL P-(P&#39;-PHENYLBENZALAMINO)BENZOATE,14;27,"Amines, Phosphines, and Pyridines;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
37853-59-1,"1,2-BIS(2,4,6-TRIBROMOPHENOXY)ETHANE",16;28,Aryl Halides;Ethers
379-79-3,ERGOTAMINE TARTRATE,1;12;14;60,"Acetals, Ketals, Hemiacetals, and Hemiketals;Amides and Imides;Amines, Phosphines, and Pyridines;Salts, Acidic"
3810-74-0,STREPTOMYCIN SULFATE (2:3) (SALT),1;8;9;14;60,"Acetals, Ketals, Hemiacetals, and Hemiketals;Alcohols and Polyols;Aldehydes;Amines, Phosphines, and Pyridines;Salts, Acidic"
3811-04-9,POTASSIUM CHLORATE,50;68,"Oxidizing Agents, Strong;Water and Aqueous Solutions"
3817-11-6,4-HYDROXYBUTYLBUTYLNITROSAMINE,8;17;46,"Alcohols and Polyols;Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
384-22-5,"2-NITRO-ALPHA,ALPHA,ALPHA-TRIFLUOROTOLUENE",30;46,"Fluorinated Organic Compounds;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
38465-60-0,COPPER FLUOROBORATE,47;68,Non-Redox-Active Inorganic Compounds;Water and Aqueous Solutions
3848-24-6,"2,3-HEXANEDIONE",38,Ketones
38661-72-2,"1,3-BIS(METHYLISOCYANATE)CYCLOHEXANE",37,Isocyanates and Isothiocyanates
38727-55-8,DIETHATYL ETHYL,12;27;31,"Amides and Imides;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Halogenated Organic Compounds"
3878-19-1,FUBERIDAZOLE,14;28,"Amines, Phosphines, and Pyridines;Ethers"
3882-98-2,2-AMINO-2-THIAZOLINE HYDROCHLORIDE,14;60;64,"Amines, Phosphines, and Pyridines;Salts, Acidic;Sulfides, Organic"
38848-76-9,"1,1-DIMETHYL-1-(2-HYDROXYPROPYLAMINE)TETRADECANIMIDE",8;12;17;57,"Alcohols and Polyols;Amides and Imides;Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Quaternary Ammonium and Phosphonium Salts"
389-08-2,NALIDIXIC ACID,2;14;35;38,"Acids, Carboxylic;Amines, Phosphines, and Pyridines;Hydrocarbons, Aromatic;Ketones"
39098-97-0,THIOPHENE-2-ACETYL CHLORIDE,7;64,"Acyl Halides, Sulfonyl Halides, and Chloroformates;Sulfides, Organic"
39156-41-7,"2,4-DIAMINOANISOLE SULFATE",28;60,"Ethers;Salts, Acidic"
39196-18-4,THIOFANOX,20;52,Carbamates;Oximes
3926-62-3,SODIUM CHLOROACETATE,31;61,"Halogenated Organic Compounds;Salts, Basic"
393-52-2,2-FLUOROBENZOYL CHLORIDE,7;16,"Acyl Halides, Sulfonyl Halides, and Chloroformates;Aryl Halides"
393-75-9,"4-CHLORO-3,5-DINITRO-ALPHA,ALPHA,ALPHA-TRIFLUOROTOLUENE",16;30;46,"Aryl Halides;Fluorinated Organic Compounds;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
39300-45-3,DINOCAP,27;34;46,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Hydrocarbons, Aliphatic Unsaturated;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
39300-88-4,TARA GUM,48,Not Chemically Reactive
39407-03-9,OCTYL ACID PHOSPHATE,5;27,"Acids, Weak;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
39450-05-0,HALOWAX 1099,16;31,Aryl Halides;Halogenated Organic Compounds
39515-41-8,FENPROPATHRIN,27;28;45,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Ethers;Nitriles"
396-01-0,TRIAMTERENE,14,"Amines, Phosphines, and Pyridines"
39638-32-9,BIS(2-CHLOROISOPROPYL) ETHER,28;31,Ethers;Halogenated Organic Compounds
39817-09-9,METHYLENE BIS(PHENYLENEOXYMETHYLENE)BISOXIRANE,26;28,Epoxides;Ethers
40058-87-5,ISOPROPYL 2-CHLOROPROPIONATE,27;31,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Halogenated Organic Compounds"
4016-11-9,"1,2-EPOXY-3-ETHOXYPROPANE",26;28;56,Epoxides;Ethers;Polymerizable Compounds
402-54-0,P-NITROBENZOTRIFLUORIDE,30;35;46,"Fluorinated Organic Compounds;Hydrocarbons, Aromatic;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
40334-69-8,LEWISITE 2,31;32;34,"Halogenated Organic Compounds;Halogenating Agents;Hydrocarbons, Aliphatic Unsaturated"
40334-70-1,LEWISITE 3,31;32;34,"Halogenated Organic Compounds;Halogenating Agents;Hydrocarbons, Aliphatic Unsaturated"
40379-24-6,ISONONYL ACETATE,27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
4044-65-9,BITOSCANATE,37,Isocyanates and Isothiocyanates
40487-42-1,PENDIMETHALIN,13;46,"Amines, Aromatic;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
406-90-6,FLUOROXENE,28;30;34,"Ethers;Fluorinated Organic Compounds;Hydrocarbons, Aliphatic Unsaturated"
4067-16-7,PENTAETHYLENEHEXAMINE,14,"Amines, Phosphines, and Pyridines"
4074-88-8,DIETHYLENE GLYCOL DIACRYLATE,6;27;56,"Acrylates and Acrylic Acids;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Polymerizable Compounds"
40766-31-2,1-PHENYL-1-XYLYL ETHANE,35,"Hydrocarbons, Aromatic"
4080-31-3,"1-(3-CHLOROALLYL)-3,5,7-TRIAZA-1-AZONIAADAMANTANE CHLORIDE",14;31;34;57,"Amines, Phosphines, and Pyridines;Halogenated Organic Compounds;Hydrocarbons, Aliphatic Unsaturated;Quaternary Ammonium and Phosphonium Salts"
40881-98-9,"N,N-DIPROPYL PHOSPHORAMIDIC DICHLORIDE",7;12,"Acyl Halides, Sulfonyl Halides, and Chloroformates;Amides and Imides"
409-21-2,SILICON CARBIDE,44,"Nitrides, Phosphides, Carbides, and Silicides"
40915-55-7,O-CHLOROBENZALMALONONITRILE,16;45,Aryl Halides;Nitriles
